[Connect DataFile][1.1]
Date:;09.12.2025
Time:;12:13:21,478
Unit:;°C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;35,3;35,3;27,9;35,5;
00:00:00,012;35,1;35,1;27,7;35,5;
00:00:00,025;35,2;35,2;28,1;35,7;
00:00:00,037;35,3;35,3;28,0;35,5;
00:00:00,050;35,3;35,3;27,8;35,7;
00:00:00,062;35,3;35,3;27,8;35,5;
00:00:00,075;35,3;35,3;27,8;35,5;
00:00:00,087;35,3;35,3;27,8;35,5;
00:00:00,100;35,3;35,3;27,8;35,5;
00:00:00,112;35,3;35,3;27,8;35,5;
00:00:00,125;35,3;35,3;27,8;35,5;
00:00:00,137;35,3;35,3;27,8;35,5;
00:00:00,150;35,3;35,3;27,8;35,5;
00:00:00,162;35,3;35,3;27,8;35,5;
00:00:00,175;35,3;35,3;27,8;35,5;
00:00:00,187;35,3;35,3;27,8;35,5;
00:00:00,200;35,3;35,3;27,8;35,5;
00:00:00,212;35,3;35,3;27,8;35,5;
00:00:00,225;35,3;35,3;27,8;35,5;
00:00:00,237;35,3;35,3;27,8;35,5;
00:00:00,250;35,3;35,3;27,8;35,5;
00:00:00,262;35,3;35,3;27,8;35,5;
00:00:00,275;35,3;35,3;27,8;35,5;
00:00:00,287;35,3;35,3;27,8;35,5;
00:00:00,300;35,3;35,3;27,8;35,5;
00:00:00,312;35,3;35,3;27,8;35,5;
00:00:00,325;35,3;35,3;27,8;35,5;
00:00:00,337;35,3;35,3;27,8;35,5;
00:00:00,350;35,3;35,3;27,8;35,5;
00:00:00,362;35,3;35,3;27,8;35,5;
00:00:00,375;35,3;35,3;27,8;35,5;
00:00:00,387;35,3;35,3;27,8;35,5;
00:00:00,400;35,3;35,3;27,8;35,5;
00:00:00,412;35,3;35,3;27,8;35,5;
00:00:00,425;35,3;35,3;27,8;35,5;
00:00:00,437;35,3;35,3;27,8;35,5;
00:00:00,450;35,3;35,3;27,8;35,5;
00:00:00,462;35,4;35,4;28,1;35,8;
00:00:00,475;35,5;35,5;28,1;35,9;
00:00:00,487;35,7;35,7;28,2;35,9;
00:00:00,500;35,7;35,7;28,1;35,9;
00:00:00,512;35,5;35,5;28,3;35,9;
00:00:00,525;35,5;35,5;28,1;35,7;
00:00:00,537;35,5;35,5;28,1;35,7;
00:00:00,550;35,5;35,5;28,1;35,9;
00:00:00,562;35,6;35,6;28,2;36,0;
00:00:00,575;35,5;35,5;28,2;35,8;
00:00:00,587;35,7;35,7;27,9;35,9;
00:00:00,600;35,5;35,5;27,9;35,9;
00:00:00,612;35,5;35,5;28,3;35,9;
00:00:00,625;35,7;35,7;28,0;36,0;
00:00:00,637;35,7;35,7;28,2;35,9;
00:00:00,650;35,6;35,6;28,0;35,7;
00:00:00,662;35,7;35,7;28,1;35,9;
00:00:00,675;35,5;35,5;28,2;35,9;
00:00:00,687;35,5;35,5;28,1;35,8;
00:00:00,700;35,8;35,8;28,4;35,9;
00:00:00,712;35,4;35,4;28,1;35,9;
00:00:00,725;35,6;35,6;28,2;36,0;
00:00:00,737;35,7;35,7;28,1;35,9;
00:00:00,750;35,6;35,6;28,1;35,9;
00:00:00,762;35,5;35,5;28,1;35,9;
00:00:00,775;35,7;35,7;27,9;36,0;
00:00:00,787;35,6;35,6;28,1;35,9;
00:00:00,800;35,7;35,7;28,2;36,0;
00:00:00,812;35,5;35,5;28,3;36,1;
00:00:00,825;35,5;35,5;28,1;35,7;
00:00:00,837;35,6;35,6;28,2;35,9;
00:00:00,850;35,7;35,7;28,3;35,9;
00:00:00,862;35,6;35,6;28,1;36,0;
00:00:00,875;35,7;35,7;28,3;36,1;
00:00:00,887;35,7;35,7;28,1;35,9;
00:00:00,900;35,9;35,9;28,1;36,0;
00:00:00,912;35,7;35,7;28,1;35,9;
00:00:00,925;35,6;35,6;28,2;35,9;
00:00:00,937;35,7;35,7;28,2;36,0;
00:00:00,950;35,9;35,9;28,1;36,0;
00:00:00,962;35,8;35,8;28,2;36,1;
00:00:00,975;35,6;35,6;28,2;36,1;
00:00:00,987;35,7;35,7;28,1;35,9;
00:00:01,000;35,9;35,9;28,1;35,9;
00:00:01,012;35,9;35,9;28,1;35,9;
00:00:01,025;35,6;35,6;28,1;35,8;
00:00:01,037;35,7;35,7;28,1;36,0;
00:00:01,050;35,6;35,6;28,2;35,9;
00:00:01,062;35,9;35,9;28,3;35,9;
00:00:01,075;35,9;35,9;28,3;35,9;
00:00:01,087;35,7;35,7;28,3;35,9;
00:00:01,100;35,6;35,6;27,9;36,0;
00:00:01,112;35,7;35,7;28,1;36,0;
00:00:01,125;35,7;35,7;28,1;36,1;
00:00:01,137;35,7;35,7;28,1;36,1;
00:00:01,150;36,0;36,0;28,4;36,0;
00:00:01,162;35,5;35,5;28,3;35,9;
00:00:01,175;35,7;35,7;28,0;36,0;
00:00:01,187;35,5;35,5;27,9;35,9;
00:00:01,200;35,6;35,6;28,1;35,9;
00:00:01,212;35,7;35,7;28,3;36,0;
00:00:01,225;35,9;35,9;28,1;35,9;
00:00:01,237;35,6;35,6;27,9;35,9;
00:00:01,250;35,6;35,6;28,1;35,9;
00:00:01,262;35,7;35,7;28,0;35,9;
00:00:01,275;35,9;35,9;28,1;36,1;
00:00:01,287;35,6;35,6;27,9;35,9;
00:00:01,300;35,6;35,6;27,9;35,9;
00:00:01,312;35,6;35,6;27,9;35,9;
00:00:01,325;35,6;35,6;28,2;36,0;
00:00:01,337;35,6;35,6;28,1;35,8;
00:00:01,350;35,5;35,5;27,9;35,9;
00:00:01,362;35,5;35,5;27,8;35,9;
00:00:01,375;35,5;35,5;27,9;36,0;
00:00:01,387;35,4;35,4;27,7;35,9;
00:00:01,400;35,7;35,7;28,0;35,9;
00:00:01,412;35,6;35,6;28,2;35,9;
00:00:01,425;35,7;35,7;27,9;35,9;
00:00:01,437;35,6;35,6;28,2;35,9;
00:00:01,450;35,7;35,7;28,3;36,0;
00:00:01,462;35,7;35,7;28,2;36,0;
00:00:01,475;35,9;35,9;27,9;35,9;
00:00:01,487;35,5;35,5;27,8;35,9;
00:00:01,500;35,6;35,6;28,1;36,0;
00:00:01,512;35,7;35,7;28,1;35,9;
00:00:01,525;35,7;35,7;28,1;36,1;
00:00:01,537;35,7;35,7;28,1;35,9;
00:00:01,550;35,6;35,6;28,1;36,0;
00:00:01,562;35,7;35,7;27,9;35,9;
00:00:01,575;35,7;35,7;27,9;36,0;
00:00:01,587;35,7;35,7;28,1;36,0;
00:00:01,600;35,6;35,6;27,6;35,9;
00:00:01,612;35,9;35,9;28,1;36,1;
00:00:01,625;35,9;35,9;28,0;36,0;
00:00:01,637;35,9;35,9;28,6;36,1;
00:00:01,650;35,7;35,7;28,2;36,2;
00:00:01,662;35,7;35,7;28,1;36,0;
00:00:01,675;35,7;35,7;28,0;36,0;
00:00:01,687;35,7;35,7;28,1;36,2;
00:00:01,700;35,7;35,7;28,3;36,0;
00:00:01,712;35,9;35,9;28,0;36,1;
00:00:01,725;36,1;36,1;28,1;36,1;
00:00:01,737;35,7;35,7;28,0;36,0;
00:00:01,750;35,6;35,6;27,8;36,2;
00:00:01,762;35,7;35,7;27,9;36,0;
00:00:01,775;36,2;36,2;28,3;36,2;
00:00:01,787;35,8;35,8;27,9;36,1;
00:00:01,800;35,7;35,7;28,2;36,2;
00:00:01,812;35,8;35,8;27,9;36,2;
00:00:01,825;35,7;35,7;28,0;36,7;
00:00:01,837;35,7;35,7;28,1;36,1;
00:00:01,850;35,9;35,9;28,1;36,1;
00:00:01,862;35,9;35,9;28,0;36,3;
00:00:01,875;35,7;35,7;28,0;36,1;
00:00:01,887;35,7;35,7;28,2;36,2;
00:00:01,900;35,8;35,8;28,0;36,4;
00:00:01,912;35,8;35,8;27,9;36,0;
00:00:01,925;35,9;35,9;28,1;36,0;
00:00:01,937;35,9;35,9;28,1;36,3;
00:00:01,950;35,7;35,7;28,2;36,0;
00:00:01,962;35,7;35,7;28,1;36,3;
00:00:01,975;35,9;35,9;27,9;36,2;
00:00:01,987;35,7;35,7;28,3;36,1;
00:00:02,000;35,9;35,9;27,9;36,2;
00:00:02,012;35,8;35,8;28,1;36,0;
00:00:02,025;35,8;35,8;28,1;36,0;
00:00:02,037;35,8;35,8;28,3;36,1;
00:00:02,050;35,9;35,9;28,3;36,2;
00:00:02,062;35,7;35,7;28,1;36,2;
00:00:02,075;36,0;36,0;28,1;36,2;
00:00:02,087;36,0;36,0;28,1;36,2;
00:00:02,100;35,9;35,9;27,9;36,2;
00:00:02,112;35,9;35,9;28,0;36,3;
00:00:02,125;36,1;36,1;28,1;36,2;
00:00:02,137;36,0;36,0;27,8;36,4;
00:00:02,150;36,0;36,0;27,8;36,4;
00:00:02,162;35,9;35,9;28,1;36,0;
00:00:02,175;35,7;35,7;28,3;36,1;
00:00:02,187;35,9;35,9;27,9;36,1;
00:00:02,200;35,9;35,9;28,2;36,2;
00:00:02,212;35,9;35,9;28,2;36,2;
