[Connect DataFile][1.1]
Date:;19.02.2026
Time:;16:09:11,170
Unit:;C
Resolution:;0,0125
Values:;7
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;2.0 mm;1.5 mm;1.0 mm;
00:00:00,000;56,1;56,1;35,9;66,4;66,4;59,6;52,2;
00:00:00,012;56,3;56,3;35,8;66,4;66,4;59,7;52,1;
00:00:00,025;56,0;56,0;35,8;66,4;66,4;60,0;52,3;
00:00:00,037;56,1;56,1;35,7;66,3;66,3;59,8;52,4;
00:00:00,050;56,0;56,0;36,0;66,2;66,2;60,1;52,0;
00:00:00,062;56,1;56,1;35,9;66,3;66,3;59,8;51,9;
00:00:00,075;56,0;56,0;35,7;66,7;66,7;60,1;52,4;
00:00:00,087;56,0;56,0;35,7;66,4;66,4;59,9;52,2;
00:00:00,100;56,3;56,3;35,7;66,5;66,5;60,0;52,4;
00:00:00,112;56,2;56,2;35,9;66,4;66,4;59,7;52,4;
00:00:00,125;56,4;56,4;35,7;66,3;66,3;60,0;52,4;
00:00:00,137;55,9;55,9;35,9;66,2;66,2;59,7;52,4;
00:00:00,150;56,0;56,0;35,9;66,4;66,4;59,9;52,3;
00:00:00,162;56,2;56,2;35,9;66,5;66,5;60,0;52,3;
00:00:00,175;56,0;56,0;35,7;66,5;66,5;59,7;52,3;
00:00:00,187;56,0;56,0;35,7;66,4;66,4;59,5;52,0;
00:00:00,200;56,0;56,0;35,7;66,0;66,0;59,7;51,9;
00:00:00,212;56,4;56,4;35,8;66,5;66,5;59,7;52,2;
00:00:00,225;55,9;55,9;35,8;66,6;66,6;59,6;52,2;
00:00:00,237;56,0;56,0;35,9;66,2;66,2;59,6;52,3;
00:00:00,250;56,4;56,4;35,9;66,5;66,5;59,6;52,7;
00:00:00,262;56,2;56,2;36,0;66,4;66,4;59,8;52,5;
00:00:00,275;56,2;56,2;36,0;66,5;66,5;59,8;52,2;
00:00:00,287;56,1;56,1;36,0;66,4;66,4;59,8;52,5;
00:00:00,300;56,4;56,4;35,9;66,7;66,7;60,2;51,9;
00:00:00,312;56,2;56,2;36,0;66,8;66,8;59,8;52,3;
00:00:00,325;56,3;56,3;35,8;66,4;66,4;60,1;52,6;
00:00:00,337;56,5;56,5;36,1;66,7;66,7;59,7;52,4;
00:00:00,350;56,4;56,4;36,0;66,7;66,7;59,6;52,4;
00:00:00,362;56,3;56,3;35,8;66,4;66,4;60,1;52,5;
00:00:00,375;56,4;56,4;36,1;66,6;66,6;59,7;52,3;
00:00:00,387;56,3;56,3;35,9;66,6;66,6;59,6;52,5;
00:00:00,400;56,3;56,3;35,8;66,4;66,4;59,5;52,2;
00:00:00,412;56,3;56,3;35,9;66,4;66,4;59,8;52,4;
00:00:00,425;56,1;56,1;35,8;66,4;66,4;59,7;52,5;
00:00:00,437;56,1;56,1;36,0;66,5;66,5;59,7;52,4;
00:00:00,450;56,0;56,0;35,9;66,5;66,5;59,7;52,4;
00:00:00,462;56,0;56,0;35,8;66,2;66,2;60,2;52,3;
00:00:00,475;56,3;56,3;35,7;65,9;65,9;59,6;52,3;
00:00:00,487;56,1;56,1;35,8;66,7;66,7;59,8;52,7;
00:00:00,500;56,2;56,2;35,9;66,5;66,5;60,1;52,3;
00:00:00,512;56,4;56,4;36,1;66,3;66,3;59,8;52,2;
00:00:00,525;56,4;56,4;35,9;66,6;66,6;59,8;52,3;
