[Connect DataFile][1.1]
Date:;09.04.2026
Time:;16:25:48,355
Unit:;°C
Resolution:;0,0125
Values:;9
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;2.0mm;1.5mm;1.0mm;Area 8;Area 9;
00:00:00,000;84,8;84,8;30,3;84,9;83,6;77,8;76,2;84,9;84,1;
00:00:00,012;84,7;84,7;30,3;84,9;83,6;77,9;76,2;84,9;84,1;
00:00:00,025;84,6;84,6;29,9;84,8;83,6;77,9;76,2;84,8;83,9;
00:00:00,037;84,6;84,6;30,0;84,8;83,5;78,2;76,1;84,8;84,2;
00:00:00,050;84,9;84,9;30,2;84,9;83,6;78,1;76,2;84,9;84,2;
00:00:00,062;84,8;84,8;30,4;84,8;83,7;78,2;76,1;84,8;84,0;
00:00:00,075;84,8;84,8;30,6;84,9;83,5;78,0;76,2;84,9;84,1;
00:00:00,087;84,6;84,6;30,3;84,9;83,5;78,0;76,2;84,9;84,1;
00:00:00,100;84,8;84,8;30,3;84,9;83,4;77,9;76,2;84,9;84,0;
00:00:00,112;84,6;84,6;30,3;84,9;83,5;77,7;76,2;84,9;84,0;
00:00:00,125;84,7;84,7;30,1;84,8;83,5;77,9;76,3;84,8;84,0;
00:00:00,137;84,7;84,7;30,0;84,9;83,5;77,9;76,3;84,9;84,1;
00:00:00,150;84,9;84,9;30,2;84,9;83,7;78,0;76,2;84,9;84,1;
00:00:00,162;84,7;84,7;30,2;84,9;83,6;77,8;76,2;84,9;84,0;
00:00:00,175;84,7;84,7;30,3;85,1;83,7;77,8;76,3;85,1;84,1;
00:00:00,187;84,9;84,9;30,5;84,9;83,6;77,9;76,2;84,9;84,1;
00:00:00,200;84,7;84,7;30,1;84,9;83,4;77,8;76,1;84,9;84,0;
00:00:00,212;84,8;84,8;30,5;84,9;83,6;77,9;76,1;84,9;84,0;
00:00:00,225;84,8;84,8;30,4;85,0;83,4;77,9;76,1;85,0;84,0;
00:00:00,237;84,6;84,6;30,1;84,8;83,6;77,7;76,1;84,8;84,0;
00:00:00,250;84,7;84,7;30,3;84,9;83,4;78,3;76,4;84,9;84,1;
00:00:00,262;84,8;84,8;30,6;84,8;83,4;78,0;76,2;84,8;84,1;
00:00:00,275;84,6;84,6;30,2;84,8;83,6;78,1;76,2;84,8;83,9;
00:00:00,287;84,7;84,7;30,5;84,8;83,4;77,9;76,4;84,8;84,0;
00:00:00,300;84,5;84,5;30,3;84,8;83,5;77,8;76,1;84,8;84,0;
00:00:00,312;84,7;84,7;30,2;84,8;83,5;77,9;76,1;84,8;83,9;
00:00:00,325;84,7;84,7;30,3;84,8;83,5;78,0;76,4;84,8;84,0;
00:00:00,337;84,7;84,7;30,2;84,9;83,5;78,0;76,2;84,9;84,0;
00:00:00,350;84,8;84,8;30,0;84,8;83,6;78,1;76,3;84,8;84,1;
00:00:00,362;84,7;84,7;30,7;84,9;83,4;77,7;76,1;84,9;84,0;
00:00:00,375;84,7;84,7;30,4;84,8;83,8;77,8;76,2;84,8;84,2;
00:00:00,387;84,7;84,7;30,2;84,9;83,6;78,0;76,2;84,9;84,3;
00:00:00,400;84,9;84,9;30,3;84,9;83,7;78,1;76,4;84,9;84,0;
00:00:00,412;84,6;84,6;30,1;84,8;83,7;77,9;76,3;84,8;84,1;
00:00:00,425;84,6;84,6;30,6;84,8;83,6;77,9;76,3;84,8;84,0;
00:00:00,437;84,8;84,8;30,4;85,1;83,8;78,1;76,1;85,1;84,3;
00:00:00,450;84,8;84,8;30,4;84,9;83,6;78,1;76,2;84,9;84,1;
00:00:00,462;84,7;84,7;30,6;85,0;83,7;78,0;76,3;85,0;84,0;
00:00:00,475;84,8;84,8;30,1;84,9;83,6;78,2;76,2;84,9;84,0;
00:00:00,487;84,9;84,9;30,3;84,9;83,4;78,1;76,2;84,9;83,9;
00:00:00,500;84,7;84,7;30,2;84,8;83,5;78,1;76,2;84,8;84,0;
00:00:00,512;84,9;84,9;30,2;85,0;83,6;77,9;76,3;85,0;84,0;
00:00:00,525;84,7;84,7;30,2;85,0;83,8;78,1;76,1;85,0;84,2;
00:00:00,537;84,7;84,7;30,2;85,0;83,8;78,1;76,1;85,0;84,2;
00:00:00,550;84,6;84,6;30,4;84,7;83,5;77,9;76,2;84,7;84,0;
00:00:00,562;84,7;84,7;30,2;84,8;83,7;78,0;76,2;84,8;84,1;
00:00:00,575;84,7;84,7;30,3;84,9;83,7;78,3;76,3;84,9;84,2;
00:00:00,587;84,8;84,8;30,3;84,9;83,4;77,9;76,3;84,9;84,1;
00:00:00,600;84,8;84,8;30,5;84,8;83,7;77,8;76,3;84,8;84,1;
00:00:00,612;84,7;84,7;30,3;84,9;83,7;78,0;76,2;84,9;84,2;
00:00:00,625;84,7;84,7;30,2;84,8;83,5;77,9;76,3;84,8;84,2;
00:00:00,637;84,7;84,7;30,3;84,9;83,8;77,9;76,3;84,9;84,1;
00:00:00,650;84,7;84,7;30,2;84,9;83,7;78,1;76,3;84,9;84,3;
00:00:00,662;84,6;84,6;30,5;85,0;83,7;77,9;76,3;85,0;84,1;
