[Connect DataFile][1.1]
Date:;09.12.2025
Time:;14:33:56,533
Unit:;°C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;55,1;55,1;34,3;57,3;
00:00:00,012;54,9;54,9;34,2;57,3;
00:00:00,025;54,8;54,8;34,3;57,0;
00:00:00,037;55,2;55,2;34,4;57,1;
00:00:00,050;55,0;55,0;34,5;57,2;
00:00:00,062;55,0;55,0;34,7;57,4;
00:00:00,075;55,0;55,0;34,4;57,2;
00:00:00,087;55,1;55,1;34,3;57,4;
00:00:00,100;55,1;55,1;34,3;57,3;
00:00:00,112;55,1;55,1;34,3;57,2;
00:00:00,125;55,2;55,2;34,6;57,2;
00:00:00,137;55,0;55,0;34,5;57,1;
00:00:00,150;55,0;55,0;34,5;57,2;
00:00:00,162;55,1;55,1;34,4;57,1;
00:00:00,175;54,9;54,9;34,5;57,1;
00:00:00,187;55,0;55,0;34,3;56,9;
00:00:00,200;54,9;54,9;34,3;57,1;
00:00:00,212;55,2;55,2;34,4;57,3;
00:00:00,225;55,3;55,3;34,5;57,2;
00:00:00,237;55,2;55,2;34,3;57,0;
00:00:00,250;55,4;55,4;34,7;57,0;
00:00:00,262;55,0;55,0;34,4;57,1;
00:00:00,275;55,2;55,2;34,5;57,0;
00:00:00,287;55,0;55,0;34,3;57,3;
00:00:00,300;55,1;55,1;34,6;57,1;
00:00:00,312;55,0;55,0;34,5;57,3;
00:00:00,325;54,9;54,9;34,3;57,1;
00:00:00,337;54,9;54,9;34,3;57,3;
00:00:00,350;55,1;55,1;34,3;57,3;
00:00:00,362;55,0;55,0;34,5;57,2;
00:00:00,375;55,0;55,0;34,5;57,0;
00:00:00,387;55,0;55,0;34,3;57,1;
00:00:00,400;55,0;55,0;34,5;57,0;
00:00:00,412;54,9;54,9;34,3;57,1;
00:00:00,425;55,0;55,0;34,3;57,2;
00:00:00,437;55,0;55,0;34,4;57,1;
00:00:00,450;55,0;55,0;34,3;57,2;
00:00:00,462;55,2;55,2;34,4;57,2;
00:00:00,475;55,1;55,1;34,5;57,1;
00:00:00,487;54,8;54,8;34,5;57,0;
00:00:00,500;55,3;55,3;34,3;57,2;
00:00:00,512;55,0;55,0;34,5;57,0;
00:00:00,525;55,4;55,4;34,3;57,2;
00:00:00,537;55,4;55,4;34,3;57,2;
00:00:00,550;55,0;55,0;34,4;57,2;
00:00:00,562;55,4;55,4;34,5;57,2;
00:00:00,575;55,1;55,1;34,5;57,2;
00:00:00,587;55,0;55,0;34,3;57,1;
00:00:00,600;55,0;55,0;34,3;57,2;
00:00:00,612;55,0;55,0;34,4;57,1;
00:00:00,625;55,1;55,1;34,5;57,1;
00:00:00,637;55,2;55,2;34,4;57,0;
00:00:00,650;55,0;55,0;34,4;57,0;
00:00:00,662;55,1;55,1;34,3;56,9;
00:00:00,675;55,0;55,0;34,3;57,2;
00:00:00,687;54,9;54,9;34,3;57,1;
00:00:00,700;54,8;54,8;34,5;56,9;
00:00:00,712;55,0;55,0;34,3;56,9;
00:00:00,725;55,1;55,1;34,3;57,2;
00:00:00,737;55,1;55,1;34,4;57,1;
00:00:00,750;55,0;55,0;34,3;56,9;
00:00:00,762;55,2;55,2;34,4;57,1;
00:00:00,775;55,2;55,2;34,3;57,0;
00:00:00,787;54,9;54,9;34,3;57,1;
00:00:00,800;55,0;55,0;34,5;57,3;
00:00:00,812;55,1;55,1;34,2;57,2;
00:00:00,825;55,0;55,0;34,3;57,2;
00:00:00,837;55,0;55,0;34,3;56,9;
00:00:00,850;54,9;54,9;34,3;57,2;
00:00:00,862;54,8;54,8;34,3;57,1;
00:00:00,875;54,9;54,9;34,5;57,0;
00:00:00,887;55,0;55,0;34,3;57,0;
00:00:00,900;55,0;55,0;34,5;57,1;
00:00:00,912;54,8;54,8;34,3;57,2;
00:00:00,925;55,2;55,2;34,3;57,2;
00:00:00,937;55,0;55,0;34,2;57,1;
00:00:00,950;55,0;55,0;34,3;57,4;
00:00:00,962;55,2;55,2;34,3;57,1;
00:00:00,975;54,9;54,9;34,3;56,9;
00:00:00,987;54,9;54,9;34,1;56,9;
00:00:01,000;54,9;54,9;34,2;56,9;
00:00:01,012;54,9;54,9;34,2;56,9;
00:00:01,025;55,0;55,0;34,4;57,0;
00:00:01,037;55,1;55,1;34,4;57,3;
00:00:01,050;54,7;54,7;34,3;56,9;
00:00:01,062;54,9;54,9;34,3;56,9;
00:00:01,075;54,9;54,9;34,3;56,9;
00:00:01,087;55,1;55,1;34,3;57,0;
00:00:01,100;55,1;55,1;34,5;57,1;
00:00:01,112;54,9;54,9;34,1;57,1;
00:00:01,125;55,1;55,1;34,5;57,2;
00:00:01,137;55,1;55,1;34,5;57,2;
00:00:01,150;54,9;54,9;34,3;57,3;
00:00:01,162;55,0;55,0;34,3;56,8;
00:00:01,175;55,0;55,0;34,2;56,8;
00:00:01,187;55,0;55,0;34,3;57,0;
00:00:01,200;55,0;55,0;34,2;56,9;
00:00:01,212;54,9;54,9;34,2;57,1;
00:00:01,225;55,0;55,0;34,2;57,2;
00:00:01,237;55,0;55,0;34,3;57,4;
00:00:01,250;54,9;54,9;34,2;56,9;
00:00:01,262;55,0;55,0;34,2;56,9;
00:00:01,275;55,0;55,0;34,5;57,4;
00:00:01,287;55,0;55,0;34,2;57,1;
00:00:01,300;55,0;55,0;34,4;57,1;
00:00:01,312;54,9;54,9;34,5;57,2;
00:00:01,325;55,0;55,0;34,3;57,2;
00:00:01,337;55,1;55,1;34,5;57,2;
