[Connect DataFile][1.1]
Date:;11.07.2025
Time:;12:33:23,771
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;27,1;26,6;27,1;27,1;
00:00:00,012;26,9;26,6;26,6;26,9;
00:00:00,025;26,7;26,6;26,7;26,7;
00:00:00,037;26,9;26,4;26,6;26,9;
00:00:00,050;26,4;26,4;26,6;26,9;
00:00:00,062;26,6;26,6;26,7;26,9;
00:00:00,075;26,5;26,5;26,7;26,9;
00:00:00,087;26,5;26,5;26,8;26,9;
00:00:00,100;26,4;26,4;26,9;26,9;
00:00:00,112;26,6;26,6;26,9;27,1;
00:00:00,125;26,6;26,6;26,9;26,9;
00:00:00,137;26,6;26,6;26,9;27,0;
00:00:00,150;26,4;26,4;26,8;26,9;
00:00:00,162;26,5;26,5;26,8;26,8;
00:00:00,175;26,4;26,4;26,6;26,9;
00:00:00,187;26,5;26,5;26,6;26,8;
00:00:00,200;26,5;26,5;26,7;26,9;
00:00:00,212;26,4;26,4;26,8;26,9;
00:00:00,225;26,3;26,3;26,5;26,7;
00:00:00,237;26,4;26,4;26,7;26,9;
00:00:00,250;26,6;26,6;26,7;26,7;
00:00:00,262;26,4;26,4;26,6;26,9;
00:00:00,275;26,6;26,6;26,8;27,1;
00:00:00,287;26,4;26,4;26,7;26,9;
00:00:00,300;26,6;26,6;26,8;26,9;
00:00:00,312;26,4;26,4;26,7;26,9;
00:00:00,325;26,8;26,8;26,7;26,9;
00:00:00,337;26,4;26,4;26,8;26,8;
00:00:00,350;26,4;26,4;26,6;26,9;
00:00:00,362;26,4;26,4;26,8;26,9;
00:00:00,375;26,6;26,6;26,8;26,9;
00:00:00,387;26,4;26,4;26,8;27,1;
00:00:00,400;26,3;26,3;26,7;26,8;
00:00:00,412;26,6;26,6;26,9;26,9;
00:00:00,425;26,8;26,8;26,8;27,0;
00:00:00,437;26,4;26,4;27,0;27,1;
00:00:00,450;26,5;26,5;26,8;26,9;
00:00:00,462;26,7;26,7;26,9;26,9;
00:00:00,475;26,6;26,6;27,0;27,0;
00:00:00,487;26,5;26,5;27,0;27,0;
00:00:00,500;26,5;26,5;26,9;27,0;
00:00:00,512;26,6;26,6;26,8;26,9;
00:00:00,525;26,6;26,6;26,9;26,9;
00:00:00,537;26,6;26,6;26,9;26,9;
00:00:00,550;26,6;26,6;26,9;27,3;
00:00:00,562;26,7;26,7;26,8;27,1;
00:00:00,575;26,6;26,6;26,8;26,9;
00:00:00,587;26,6;26,6;26,7;26,9;
00:00:00,600;26,7;26,7;26,8;26,9;
00:00:00,612;26,6;26,6;26,8;27,1;
00:00:00,625;26,8;26,8;26,7;26,9;
00:00:00,637;26,5;26,5;26,7;26,8;
00:00:00,650;26,6;26,6;26,7;27,0;
00:00:00,662;26,4;26,4;26,8;26,8;
00:00:00,675;26,4;26,4;26,6;26,9;
00:00:00,687;26,6;26,6;26,9;26,9;
00:00:00,700;26,6;26,6;26,6;26,9;
00:00:00,712;26,4;26,4;26,7;26,9;
00:00:00,725;26,5;26,5;26,8;26,9;
00:00:00,737;26,2;26,2;26,6;26,7;
00:00:00,750;26,3;26,3;26,7;26,7;
00:00:00,762;26,5;26,5;26,8;26,9;
00:00:00,775;26,4;26,4;26,7;26,9;
00:00:00,787;26,4;26,4;26,9;27,0;
00:00:00,800;26,4;26,4;26,6;26,8;
00:00:00,812;26,4;26,4;26,9;26,9;
00:00:00,825;26,4;26,4;26,7;26,8;
00:00:00,837;26,5;26,5;26,9;26,9;
00:00:00,850;26,6;26,6;26,7;26,9;
00:00:00,862;26,5;26,5;26,9;26,9;
00:00:00,875;26,4;26,4;26,8;26,9;
00:00:00,887;26,5;26,5;26,7;27,1;
00:00:00,900;26,4;26,4;26,6;27,0;
00:00:00,912;26,4;26,4;26,6;26,9;
00:00:00,925;26,6;26,6;26,7;26,8;
00:00:00,937;26,5;26,5;26,6;26,8;
00:00:00,950;26,4;26,4;26,7;26,8;
00:00:00,962;26,5;26,5;26,6;26,8;
00:00:00,975;26,5;26,5;26,6;26,9;
00:00:00,987;26,6;26,6;26,7;26,8;
00:00:01,000;26,7;26,7;26,7;27,0;
00:00:01,012;26,7;26,7;26,7;27,0;
00:00:01,025;26,4;26,4;26,6;26,7;
00:00:01,037;26,5;26,5;26,6;26,7;
00:00:01,050;26,4;26,4;26,7;26,9;
00:00:01,062;26,5;26,5;26,7;26,8;
00:00:01,075;26,5;26,5;26,7;26,8;
00:00:01,087;26,5;26,5;26,6;26,8;
00:00:01,100;26,7;26,7;26,7;26,9;
00:00:01,112;26,5;26,5;26,7;26,8;
00:00:01,125;26,3;26,3;26,7;26,9;
00:00:01,137;26,3;26,3;26,7;26,9;
00:00:01,150;26,5;26,5;26,7;26,9;
00:00:01,162;26,7;26,7;26,6;26,9;
00:00:01,175;26,4;26,4;26,7;26,9;
00:00:01,187;26,6;26,6;26,8;27,0;
00:00:01,200;26,5;26,5;26,6;26,9;
00:00:01,212;26,4;26,4;26,7;26,9;
00:00:01,225;26,6;26,6;26,8;26,9;
00:00:01,237;26,5;26,5;26,7;26,8;
00:00:01,250;26,5;26,5;26,7;26,8;
00:00:01,262;26,4;26,4;26,8;26,9;
00:00:01,275;26,4;26,4;26,8;26,9;
00:00:01,287;26,6;26,6;26,9;27,0;
00:00:01,300;26,4;26,4;26,7;27,1;
00:00:01,312;26,6;26,6;26,9;26,9;
00:00:01,325;26,6;26,6;26,6;26,9;
00:00:01,337;26,4;26,4;26,8;27,0;
00:00:01,350;26,5;26,5;26,7;26,9;
00:00:01,362;26,6;26,6;26,6;27,1;
00:00:01,375;26,4;26,4;26,8;27,0;
00:00:01,387;26,4;26,4;26,7;26,9;
00:00:01,400;26,4;26,4;26,8;26,9;
00:00:01,412;26,5;26,5;26,7;26,8;
00:00:01,425;26,4;26,4;26,9;27,0;
00:00:01,437;26,4;26,4;26,8;26,9;
00:00:01,450;26,5;26,5;26,9;27,0;
00:00:01,462;26,6;26,6;26,9;27,1;
00:00:01,475;26,6;26,6;26,7;27,1;
00:00:01,487;26,6;26,6;26,9;26,9;
00:00:01,500;26,6;26,6;27,0;27,0;
00:00:01,512;26,5;26,5;26,8;27,0;
00:00:01,525;26,6;26,6;26,9;27,0;
00:00:01,537;26,7;26,7;26,8;26,9;
00:00:01,550;26,6;26,6;26,7;27,0;
00:00:01,562;26,6;26,6;26,9;27,1;
00:00:01,575;26,6;26,6;26,9;27,1;
00:00:01,587;26,7;26,7;26,9;27,1;
00:00:01,600;26,8;26,8;26,8;27,0;
00:00:01,612;26,6;26,6;26,8;27,1;
00:00:01,625;26,6;26,6;27,0;27,1;
00:00:01,637;26,6;26,6;27,0;27,0;
00:00:01,650;26,6;26,6;26,9;27,1;
00:00:01,662;26,6;26,6;26,8;27,0;
00:00:01,675;26,8;26,8;26,9;26,9;
00:00:01,687;26,6;26,6;26,9;27,1;
00:00:01,700;26,6;26,6;26,7;26,9;
00:00:01,712;26,5;26,5;26,8;26,9;
00:00:01,725;26,6;26,6;27,0;27,1;
00:00:01,737;26,8;26,8;26,7;27,0;
00:00:01,750;26,5;26,5;26,7;27,0;
00:00:01,762;26,6;26,6;26,9;26,9;
00:00:01,775;26,7;26,7;26,9;27,4;
00:00:01,787;26,5;26,5;26,8;26,9;
00:00:01,800;26,5;26,5;26,9;27,0;
00:00:01,812;26,7;26,7;26,6;26,9;
00:00:01,825;26,5;26,5;26,7;26,9;
00:00:01,837;26,4;26,4;26,9;26,9;
00:00:01,850;26,6;26,6;26,7;27,0;
00:00:01,862;26,6;26,6;26,6;27,1;
00:00:01,875;26,6;26,6;26,7;26,9;
00:00:01,887;26,6;26,6;26,7;27,1;
00:00:01,900;26,5;26,5;26,9;27,0;
00:00:01,912;26,4;26,4;26,7;26,9;
00:00:01,925;26,6;26,6;26,9;26,9;
00:00:01,937;26,5;26,5;26,9;27,0;
00:00:01,950;26,4;26,4;26,6;27,1;
00:00:01,962;26,6;26,6;26,9;27,1;
00:00:01,975;26,4;26,4;26,7;26,8;
00:00:01,987;26,4;26,4;26,5;26,8;
00:00:02,000;26,4;26,4;26,8;27,1;
00:00:02,012;26,4;26,4;26,6;26,8;
00:00:02,025;26,4;26,4;26,6;26,8;
00:00:02,037;26,6;26,6;27,1;27,1;
00:00:02,050;26,4;26,4;26,6;26,9;
00:00:02,062;26,5;26,5;26,8;27,0;
00:00:02,075;26,5;26,5;26,9;26,9;
00:00:02,087;26,5;26,5;26,9;26,9;
00:00:02,100;27,0;26,4;26,8;26,9;
00:00:02,112;27,1;26,5;26,8;27,1;
00:00:02,125;27,0;26,6;26,8;26,9;
00:00:02,137;27,1;26,5;26,9;26,9;
00:00:02,150;27,1;26,5;26,9;26,9;
00:00:02,162;26,4;26,4;26,6;26,7;
00:00:02,175;26,4;26,4;26,6;26,9;
00:00:02,187;26,4;26,4;26,6;26,9;
00:00:02,200;26,5;26,5;26,6;26,8;
00:00:02,212;26,5;26,5;26,6;26,8;
00:00:02,225;26,4;26,4;26,7;26,9;
00:00:02,237;26,6;26,6;26,6;26,9;
00:00:02,250;26,4;26,4;26,7;26,9;
00:00:02,262;26,4;26,4;26,7;26,9;
00:00:02,275;26,4;26,4;26,7;26,9;
00:00:02,287;26,5;26,5;26,6;26,9;
00:00:02,300;26,4;26,4;26,6;26,9;
00:00:02,312;26,6;26,6;26,9;26,9;
00:00:02,325;26,7;26,7;26,9;26,9;
00:00:02,337;26,7;26,7;26,9;26,9;
00:00:02,350;26,5;26,5;26,8;26,9;
00:00:02,362;26,6;26,6;26,7;26,9;
00:00:02,375;26,4;26,4;26,7;26,8;
00:00:02,387;26,6;26,6;26,9;27,1;
00:00:02,400;26,6;26,6;26,6;26,9;
00:00:02,412;26,5;26,5;26,6;26,9;
00:00:02,425;26,4;26,4;26,7;26,7;
00:00:02,437;26,4;26,4;26,8;26,8;
00:00:02,450;26,4;26,4;26,8;26,8;
00:00:02,462;26,4;26,4;26,9;26,9;
00:00:02,475;26,4;26,4;26,6;26,9;
00:00:02,487;26,5;26,5;26,8;26,9;
00:00:02,500;26,5;26,5;26,6;26,9;
00:00:02,512;26,6;26,6;26,9;26,9;
00:00:02,525;26,4;26,4;26,8;26,9;
00:00:02,537;26,5;26,5;27,0;27,0;
00:00:02,550;26,5;26,5;26,9;26,9;
00:00:02,562;26,4;26,4;26,6;26,9;
00:00:02,575;26,4;26,4;26,6;27,1;
00:00:02,587;26,5;26,5;26,6;26,8;
00:00:02,600;26,8;26,8;26,9;26,9;
00:00:02,612;26,6;26,6;26,8;26,8;
00:00:02,625;26,4;26,4;26,7;26,8;
00:00:02,637;26,3;26,3;26,7;26,9;
00:00:02,650;26,3;26,3;26,5;26,8;
00:00:02,662;26,7;26,7;26,7;26,7;
00:00:02,675;26,4;26,4;26,8;26,9;
00:00:02,687;26,4;26,4;26,7;27,0;
00:00:02,700;26,5;26,5;26,7;27,0;
00:00:02,712;26,5;26,5;26,6;27,0;
00:00:02,725;26,4;26,4;26,7;26,8;
00:00:02,737;26,4;26,4;26,8;27,0;
00:00:02,750;26,8;26,8;26,8;27,0;
00:00:02,762;26,4;26,4;26,7;27,1;
00:00:02,775;26,4;26,4;26,6;26,9;
00:00:02,787;26,4;26,4;26,6;26,9;
00:00:02,800;26,4;26,4;26,6;26,8;
00:00:02,812;26,4;26,4;26,8;26,9;
00:00:02,825;26,4;26,4;26,9;26,9;
00:00:02,837;26,5;26,5;26,7;26,9;
00:00:02,850;26,6;26,6;26,7;26,9;
00:00:02,862;26,4;26,4;26,7;26,9;
00:00:02,875;26,5;26,5;26,9;26,9;
00:00:02,887;26,4;26,4;26,6;26,8;
00:00:02,900;26,4;26,4;26,7;26,7;
00:00:02,912;26,6;26,6;26,8;26,8;
00:00:02,925;26,4;26,4;26,6;26,9;
00:00:02,937;26,3;26,3;26,6;26,7;
00:00:02,950;26,3;26,3;26,6;26,7;
00:00:02,962;26,3;26,3;26,6;26,9;
00:00:02,975;26,4;26,4;26,6;26,8;
00:00:02,987;26,4;26,4;26,9;26,9;
00:00:03,000;26,4;26,4;26,6;26,8;
00:00:03,012;26,4;26,4;26,6;26,9;
00:00:03,025;26,4;26,4;26,5;26,9;
00:00:03,037;26,5;26,5;26,6;26,9;
00:00:03,050;26,6;26,6;26,6;26,8;
00:00:03,062;26,4;26,4;26,7;27,0;
00:00:03,075;26,4;26,4;26,6;26,8;
00:00:03,087;26,4;26,4;26,9;26,9;
00:00:03,100;26,5;26,5;26,9;27,1;
00:00:03,112;26,4;26,4;27,1;27,1;
00:00:03,125;26,4;26,4;26,8;27,0;
00:00:03,137;26,4;26,4;26,6;27,0;
00:00:03,150;26,6;26,6;26,6;26,8;
00:00:03,162;26,2;26,2;26,8;26,8;
00:00:03,175;26,5;26,5;26,6;26,9;
00:00:03,187;26,6;26,6;27,1;27,1;
00:00:03,200;26,5;26,5;26,7;26,9;
00:00:03,212;26,5;26,5;26,8;26,8;
00:00:03,225;26,5;26,5;26,6;26,9;
00:00:03,237;26,4;26,4;26,6;26,8;
00:00:03,250;26,4;26,4;26,6;26,8;
00:00:03,262;26,4;26,4;26,8;26,8;
00:00:03,275;26,2;26,2;26,6;26,7;
00:00:03,287;26,4;26,4;26,6;26,8;
00:00:03,300;26,4;26,4;26,7;26,7;
00:00:03,312;26,4;26,4;26,7;26,7;
00:00:03,325;26,4;26,4;26,7;26,8;
00:00:03,337;26,5;26,5;26,6;26,9;
00:00:03,350;26,3;26,3;26,6;26,9;
00:00:03,362;26,7;26,7;26,6;26,9;
00:00:03,375;26,4;26,4;26,8;26,9;
00:00:03,387;26,5;26,5;26,8;26,9;
00:00:03,400;26,5;26,5;26,8;26,8;
00:00:03,412;26,5;26,5;26,7;27,0;
00:00:03,425;26,5;26,5;26,7;27,0;
00:00:03,437;26,2;26,2;26,6;26,7;
00:00:03,450;26,6;26,6;26,8;26,9;
00:00:03,462;26,4;26,4;26,8;26,9;
00:00:03,475;26,4;26,4;26,6;26,8;
00:00:03,487;26,3;26,3;26,6;26,8;
00:00:03,500;26,5;26,5;26,6;26,7;
00:00:03,512;26,4;26,4;26,8;27,0;
00:00:03,525;26,6;26,6;26,9;26,9;
00:00:03,537;26,4;26,4;26,6;26,8;
00:00:03,550;26,5;26,5;26,7;26,8;
00:00:03,562;26,6;26,6;26,6;26,9;
00:00:03,575;26,5;26,5;26,6;26,7;
00:00:03,587;26,2;26,2;26,6;26,9;
00:00:03,600;26,2;26,2;26,6;26,9;
00:00:03,612;26,5;26,5;26,6;26,7;
00:00:03,625;26,4;26,4;26,9;27,0;
00:00:03,637;26,3;26,3;26,6;26,7;
00:00:03,650;26,4;26,4;26,6;26,8;
00:00:03,662;26,4;26,4;26,6;26,7;
00:00:03,675;26,3;26,3;26,6;26,9;
00:00:03,687;26,4;26,4;26,6;26,7;
00:00:03,700;26,5;26,5;26,6;26,8;
00:00:03,712;26,4;26,4;26,6;26,7;
00:00:03,725;26,5;26,5;26,6;26,9;
00:00:03,737;26,4;26,4;26,7;26,9;
00:00:03,750;26,4;26,4;26,9;26,9;
00:00:03,762;26,3;26,3;26,8;26,8;
00:00:03,775;26,2;26,2;26,8;26,8;
00:00:03,787;26,5;26,5;26,6;26,8;
00:00:03,800;26,5;26,5;26,7;26,8;
00:00:03,812;26,4;26,4;26,6;26,7;
00:00:03,825;26,4;26,4;26,7;26,7;
00:00:03,837;26,3;26,3;26,7;26,8;
00:00:03,850;26,3;26,3;26,7;26,7;
00:00:03,862;26,3;26,3;26,6;26,9;
00:00:03,875;26,4;26,4;26,6;26,8;
00:00:03,887;26,4;26,4;26,7;26,9;
00:00:03,900;26,6;26,6;26,9;26,9;
00:00:03,912;26,4;26,4;26,8;26,9;
00:00:03,925;26,4;26,4;26,9;26,9;
00:00:03,937;26,4;26,4;26,6;26,7;
00:00:03,950;26,4;26,4;26,6;26,9;
00:00:03,962;26,4;26,4;26,6;26,9;
00:00:03,975;26,2;26,2;26,6;26,7;
00:00:03,987;26,4;26,4;26,6;26,7;
00:00:04,000;26,3;26,3;26,6;26,6;
00:00:04,012;26,4;26,4;26,6;27,0;
00:00:04,025;26,3;26,3;26,6;26,8;
00:00:04,037;26,4;26,4;26,6;26,7;
00:00:04,050;26,4;26,4;26,6;26,7;
00:00:04,062;26,3;26,3;26,6;26,6;
00:00:04,075;26,3;26,3;26,6;26,7;
00:00:04,087;26,3;26,3;26,4;26,6;
00:00:04,100;26,3;26,3;26,7;26,8;
00:00:04,112;26,3;26,3;26,7;26,8;
00:00:04,125;26,4;26,4;26,5;27,0;
00:00:04,137;26,3;26,3;26,8;26,8;
00:00:04,150;26,3;26,3;26,6;26,9;
00:00:04,162;26,4;26,4;26,4;26,9;
00:00:04,175;26,4;26,4;26,4;26,9;
00:00:04,187;26,2;26,2;26,5;26,8;
00:00:04,200;26,2;26,2;26,6;26,8;
00:00:04,212;26,1;26,1;26,5;26,7;
00:00:04,225;26,1;26,1;26,4;26,7;
00:00:04,237;26,1;26,1;26,4;26,7;
00:00:04,250;26,3;26,3;26,6;26,8;
00:00:04,262;26,1;26,1;26,5;26,5;
00:00:04,275;26,1;26,1;26,5;26,6;
00:00:04,287;26,4;26,4;26,6;26,6;
00:00:04,300;26,4;26,4;26,6;26,6;
00:00:04,312;26,2;26,2;26,6;26,6;
00:00:04,325;26,3;26,3;26,5;26,7;
00:00:04,337;26,4;26,4;26,6;26,6;
00:00:04,350;26,3;26,3;26,6;26,8;
00:00:04,362;26,3;26,3;26,6;26,8;
00:00:04,375;26,1;26,1;26,6;26,6;
00:00:04,387;26,1;26,1;26,6;26,7;
00:00:04,400;26,3;26,3;26,6;26,6;
00:00:04,412;26,4;26,4;26,6;26,9;
00:00:04,425;26,4;26,4;26,6;26,9;
00:00:04,437;26,5;26,5;26,6;26,9;
00:00:04,450;26,3;26,3;26,8;26,8;
00:00:04,462;26,2;26,2;26,6;26,6;
00:00:04,475;26,3;26,3;26,5;26,7;
00:00:04,487;26,3;26,3;26,5;26,7;
00:00:04,500;26,3;26,3;26,5;26,9;
00:00:04,512;26,6;26,6;26,6;26,8;
00:00:04,525;26,3;26,3;26,5;26,6;
00:00:04,537;26,3;26,3;26,6;26,8;
00:00:04,550;26,3;26,3;26,6;26,8;
00:00:04,562;26,4;26,4;26,6;27,0;
00:00:04,575;26,4;26,4;26,7;26,7;
00:00:04,587;26,4;26,4;26,6;26,6;
00:00:04,600;26,5;26,5;26,6;27,0;
00:00:04,612;26,5;26,5;26,6;27,0;
00:00:04,625;26,3;26,3;26,6;26,9;
00:00:04,637;26,4;26,4;26,5;26,9;
00:00:04,650;26,4;26,4;26,7;26,7;
00:00:04,662;26,6;26,6;26,8;26,8;
00:00:04,675;26,6;26,6;26,8;26,8;
00:00:04,687;26,4;26,4;26,6;26,9;
00:00:04,700;26,4;26,4;26,6;26,9;
00:00:04,712;26,4;26,4;26,9;26,9;
00:00:04,725;26,4;26,4;26,6;26,7;
00:00:04,737;26,4;26,4;26,6;26,7;
00:00:04,750;26,5;26,5;26,5;26,9;
00:00:04,762;26,4;26,4;26,6;26,8;
00:00:04,775;26,5;26,5;26,8;26,9;
00:00:04,787;26,4;26,4;26,8;27,0;
00:00:04,800;26,6;26,6;26,6;26,9;
00:00:04,812;26,4;26,4;26,7;27,0;
00:00:04,825;26,4;26,4;26,8;26,9;
00:00:04,837;26,4;26,4;26,7;26,8;
00:00:04,850;26,2;26,2;26,7;26,9;
00:00:04,862;26,3;26,3;26,6;26,9;
00:00:04,875;26,4;26,4;26,8;26,9;
00:00:04,887;26,3;26,3;26,8;26,9;
00:00:04,900;26,4;26,4;26,6;26,8;
00:00:04,912;26,4;26,4;26,7;26,8;
00:00:04,925;26,4;26,4;26,7;26,7;
00:00:04,937;26,4;26,4;26,7;26,8;
00:00:04,950;26,3;26,3;26,8;26,9;
00:00:04,962;26,3;26,3;26,8;26,9;
00:00:04,975;26,4;26,4;26,6;26,8;
00:00:04,987;26,2;26,2;26,7;26,7;
00:00:05,000;26,2;26,2;26,8;26,9;
00:00:05,012;26,2;26,2;26,5;26,7;
00:00:05,025;26,6;26,6;26,7;26,7;
00:00:05,037;26,4;26,4;26,6;26,8;
00:00:05,050;26,5;26,5;26,6;26,7;
00:00:05,062;26,3;26,3;26,6;26,8;
00:00:05,075;26,3;26,3;26,6;26,6;
00:00:05,087;26,2;26,2;26,7;26,7;
00:00:05,100;26,4;26,4;26,7;26,7;
00:00:05,112;26,2;26,2;26,7;26,9;
00:00:05,125;26,2;26,2;26,6;26,9;
00:00:05,137;26,2;26,2;26,6;26,6;
00:00:05,150;26,2;26,2;26,5;26,9;
00:00:05,162;26,5;26,5;26,6;26,8;
00:00:05,175;26,4;26,4;26,6;26,9;
00:00:05,187;26,4;26,4;26,6;26,7;
00:00:05,200;26,4;26,4;26,6;26,8;
00:00:05,212;26,5;26,5;26,6;26,9;
00:00:05,225;26,4;26,4;26,7;26,8;
00:00:05,237;26,3;26,3;26,6;26,9;
00:00:05,250;26,6;26,6;26,6;27,0;
00:00:05,262;26,4;26,4;26,6;26,8;
00:00:05,275;26,3;26,3;26,6;26,8;
00:00:05,287;26,5;26,5;26,7;26,7;
