[Connect DataFile][1.1]
Date:;11.07.2025
Time:;15:00:01,671
Unit:;°C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;27,8;27,2;27,8;27,8;
00:00:00,012;27,9;27,2;27,7;27,8;
00:00:00,025;28,1;27,3;28,1;28,1;
00:00:00,037;28,0;27,4;27,8;28,0;
00:00:00,050;27,9;27,3;27,8;27,9;
00:00:00,062;27,1;27,1;27,7;28,1;
00:00:00,075;27,4;27,4;27,9;27,9;
00:00:00,087;27,4;27,4;27,9;28,1;
00:00:00,100;27,6;27,6;28,0;28,1;
00:00:00,112;27,3;27,3;27,8;28,0;
00:00:00,125;27,3;27,3;27,9;27,9;
00:00:00,137;27,2;27,2;28,0;28,3;
00:00:00,150;27,6;27,6;28,2;28,2;
00:00:00,162;27,5;27,5;28,0;28,1;
00:00:00,175;27,1;27,1;27,8;27,9;
00:00:00,187;27,2;27,2;27,7;27,8;
00:00:00,200;27,1;27,1;27,6;27,9;
00:00:00,212;27,1;27,1;27,6;27,8;
00:00:00,225;27,1;27,1;27,7;27,7;
00:00:00,237;26,9;26,9;27,7;27,7;
00:00:00,250;26,9;26,9;27,5;27,6;
00:00:00,262;27,4;27,4;27,6;27,8;
00:00:00,275;27,3;27,3;27,6;27,9;
00:00:00,287;27,1;27,1;27,7;27,7;
00:00:00,300;27,1;27,1;27,5;27,8;
00:00:00,312;26,9;26,9;27,5;27,7;
00:00:00,325;27,1;27,1;27,8;27,8;
00:00:00,337;27,1;27,1;27,6;27,8;
00:00:00,350;27,1;27,1;27,6;27,6;
00:00:00,362;27,1;27,1;27,5;27,6;
00:00:00,375;26,9;26,9;27,6;27,6;
00:00:00,387;27,0;27,0;27,7;27,7;
00:00:00,400;27,0;27,0;27,4;27,5;
00:00:00,412;27,1;27,1;27,6;27,7;
00:00:00,425;27,0;27,0;27,9;27,9;
00:00:00,437;27,2;27,2;27,7;27,7;
00:00:00,450;26,8;26,8;27,5;27,5;
00:00:00,462;26,9;26,9;27,5;27,5;
00:00:00,475;26,9;26,9;27,6;27,6;
00:00:00,487;26,8;26,8;27,4;27,9;
00:00:00,500;26,9;26,9;27,6;27,6;
00:00:00,512;27,0;27,0;27,6;27,6;
00:00:00,525;27,0;27,0;27,4;27,5;
00:00:00,537;27,0;27,0;27,4;27,5;
00:00:00,550;26,8;26,8;27,8;27,9;
00:00:00,562;26,7;26,7;27,5;27,5;
00:00:00,575;26,9;26,9;27,4;27,4;
00:00:00,587;26,9;26,9;27,7;27,7;
00:00:00,600;26,8;26,8;27,4;27,5;
00:00:00,612;27,0;27,0;27,4;27,6;
00:00:00,625;26,9;26,9;27,7;27,7;
00:00:00,637;26,9;26,9;27,5;27,6;
00:00:00,650;27,1;27,1;27,5;27,7;
00:00:00,662;27,6;27,1;27,5;27,6;
00:00:00,675;27,6;26,9;27,5;27,5;
00:00:00,687;27,6;27,1;27,4;27,6;
00:00:00,700;27,8;26,9;27,5;27,6;
00:00:00,712;26,9;26,9;27,7;27,9;
00:00:00,725;27,0;27,0;27,4;27,6;
00:00:00,737;26,9;26,9;27,4;27,4;
00:00:00,750;26,9;26,9;27,4;27,8;
00:00:00,762;26,9;26,9;27,7;27,7;
00:00:00,775;26,9;26,9;27,5;27,6;
00:00:00,787;26,9;26,9;27,5;27,7;
00:00:00,800;26,9;26,9;27,5;27,6;
00:00:00,812;26,9;26,9;27,4;27,6;
00:00:00,825;27,1;27,1;27,7;27,7;
00:00:00,837;26,9;26,9;27,5;27,7;
