[Connect DataFile][1.1]
Date:;01.07.2025
Time:;15:21:28,196
Unit:;C
Resolution:;0,0125
Values:;6
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;Deformation;Area 15;
00:00:00,000;27,0;27,0;33,1;27,3;26,9;27,3;
00:00:00,012;26,8;26,8;32,9;27,4;26,9;27,4;
00:00:00,025;27,0;27,0;32,9;27,2;26,9;27,2;
00:00:00,037;26,9;26,9;32,9;27,1;26,8;27,1;
00:00:00,050;26,9;26,9;32,9;27,4;26,9;27,4;
00:00:00,062;27,1;27,1;32,8;27,4;27,0;27,4;
00:00:00,075;27,1;27,1;32,9;27,4;26,9;27,4;
00:00:00,087;26,9;26,9;32,9;27,4;26,8;27,4;
00:00:00,100;27,2;27,2;33,1;27,2;26,9;27,2;
00:00:00,112;27,2;27,2;33,0;27,2;26,9;27,2;
00:00:00,125;27,1;27,1;33,0;27,2;26,8;27,2;
00:00:00,137;27,1;27,1;32,9;27,2;26,8;27,2;
00:00:00,150;27,1;27,1;32,9;27,2;26,7;27,2;
00:00:00,162;26,9;26,9;32,9;27,2;26,9;27,2;
00:00:00,175;27,1;27,1;32,9;27,3;26,8;27,3;
00:00:00,187;26,9;26,9;32,9;27,3;26,8;27,3;
00:00:00,200;26,9;26,9;32,9;27,3;27,0;27,3;
00:00:00,212;26,9;26,9;33,0;27,4;27,0;27,4;
00:00:00,225;27,1;27,1;33,2;27,6;27,0;27,6;
00:00:00,237;27,1;27,1;32,9;27,4;27,1;27,4;
00:00:00,250;27,3;27,3;33,0;27,4;27,0;27,4;
00:00:00,262;27,0;27,0;32,9;27,4;26,9;27,4;
00:00:00,275;26,9;26,9;33,1;27,4;27,0;27,4;
00:00:00,287;27,1;27,1;33,1;27,6;27,1;27,6;
00:00:00,300;27,3;27,3;33,1;27,5;27,1;27,5;
00:00:00,312;27,4;27,4;33,2;27,5;26,9;27,5;
00:00:00,325;27,1;27,1;33,3;27,7;27,0;27,7;
00:00:00,337;27,0;27,0;33,1;27,5;26,9;27,5;
00:00:00,350;27,2;27,2;33,0;27,4;27,0;27,4;
00:00:00,362;27,2;27,2;33,1;27,5;27,2;27,4;
00:00:00,375;27,2;27,2;33,0;27,6;26,9;27,6;
00:00:00,387;27,1;27,1;32,9;27,4;27,1;27,4;
00:00:00,400;27,0;27,0;32,9;27,4;27,0;27,4;
00:00:00,412;27,0;27,0;33,0;27,3;26,9;27,3;
00:00:00,425;27,0;27,0;33,1;27,4;26,8;27,4;
00:00:00,437;27,1;27,1;33,3;27,4;26,9;27,3;
00:00:00,450;27,1;27,1;33,1;27,4;26,9;27,4;
00:00:00,462;27,1;27,1;32,9;27,4;27,1;27,4;
00:00:00,475;27,0;27,0;32,9;27,3;27,0;27,3;
00:00:00,487;27,2;27,2;33,1;27,3;27,0;27,3;
00:00:00,500;27,1;27,1;32,9;27,2;26,9;27,2;
00:00:00,512;27,0;27,0;32,9;27,6;27,1;27,6;
00:00:00,525;27,2;27,2;33,0;27,3;27,0;27,3;
00:00:00,537;27,2;27,2;33,0;27,3;27,0;27,3;
00:00:00,550;26,9;26,9;32,9;27,6;26,9;27,6;
00:00:00,562;26,9;26,9;32,8;27,3;26,8;27,3;
00:00:00,575;27,0;27,0;32,9;27,2;26,9;27,2;
00:00:00,587;26,9;26,9;32,9;27,5;26,9;27,5;
00:00:00,600;27,0;27,0;33,3;27,4;26,9;27,4;
00:00:00,612;27,0;27,0;33,0;27,3;27,1;27,3;
00:00:00,625;27,1;27,1;33,0;27,3;27,1;27,3;
00:00:00,637;27,4;27,4;32,9;27,4;27,0;27,4;
00:00:00,650;27,3;27,3;32,8;27,3;27,0;27,3;
00:00:00,662;27,0;27,0;32,9;27,4;26,9;27,4;
00:00:00,675;26,9;26,9;33,0;27,4;27,0;27,4;
00:00:00,687;27,2;27,2;33,1;27,3;26,9;27,3;
00:00:00,700;27,1;27,1;32,9;27,2;26,9;27,2;
00:00:00,712;27,1;27,1;32,9;27,5;27,0;27,5;
00:00:00,725;27,1;27,1;33,5;27,3;27,1;27,3;
00:00:00,737;26,9;26,9;32,7;27,4;26,9;27,4;
00:00:00,750;27,4;27,4;33,1;27,4;27,0;27,4;
00:00:00,762;26,9;26,9;32,9;27,3;27,0;27,2;
00:00:00,775;26,9;26,9;32,9;27,3;26,8;27,3;
00:00:00,787;27,0;27,0;32,9;27,4;26,8;27,4;
00:00:00,800;27,1;27,1;33,0;27,4;26,9;27,4;
00:00:00,812;27,0;27,0;33,0;27,4;27,1;27,3;
00:00:00,825;27,2;27,2;33,1;27,5;27,0;27,5;
00:00:00,837;26,9;26,9;33,1;27,5;26,9;27,5;
00:00:00,850;27,1;27,1;33,3;27,6;27,1;27,6;
00:00:00,862;26,9;26,9;33,1;27,2;26,9;27,2;
00:00:00,875;27,1;27,1;33,0;27,4;26,9;27,4;
00:00:00,887;27,2;27,2;33,0;27,4;26,9;27,4;
00:00:00,900;27,1;27,1;33,0;27,3;26,8;27,3;
00:00:00,912;27,2;27,2;33,1;27,5;27,1;27,5;
00:00:00,925;27,0;27,0;33,1;27,4;26,9;27,4;
00:00:00,937;27,0;27,0;33,1;27,3;26,9;27,2;
00:00:00,950;27,0;27,0;32,9;27,4;27,1;27,4;
00:00:00,962;26,9;26,9;32,9;27,3;26,9;27,3;
00:00:00,975;27,1;27,1;32,9;27,3;27,1;27,3;
00:00:00,987;27,0;27,0;33,0;27,4;26,8;27,4;
00:00:01,000;27,0;27,0;32,9;27,4;27,0;27,4;
00:00:01,012;27,0;27,0;32,9;27,4;27,0;27,4;
00:00:01,025;26,9;26,9;32,8;27,2;26,9;27,2;
00:00:01,037;27,1;27,1;32,9;27,2;26,9;27,2;
00:00:01,050;27,0;27,0;32,9;27,3;27,1;27,3;
00:00:01,062;26,9;26,9;32,9;27,3;26,9;27,3;
00:00:01,075;26,9;26,9;32,9;27,3;26,9;27,3;
00:00:01,087;27,0;27,0;33,0;27,3;26,9;27,3;
00:00:01,100;27,1;27,1;33,1;27,7;26,9;27,7;
00:00:01,112;27,0;27,0;33,1;27,3;26,9;27,3;
00:00:01,125;26,9;26,9;32,9;27,3;27,2;27,3;
00:00:01,137;26,9;26,9;32,9;27,3;27,2;27,3;
00:00:01,150;26,9;26,9;32,9;27,4;26,9;27,4;
00:00:01,162;26,9;26,9;32,9;27,2;26,8;27,2;
00:00:01,175;26,9;26,9;32,8;27,2;26,9;27,2;
00:00:01,187;26,9;26,9;32,9;27,1;26,9;27,1;
00:00:01,200;26,8;26,8;33,0;27,4;26,9;27,3;
00:00:01,212;26,9;26,9;32,9;27,2;26,8;27,2;
00:00:01,225;27,1;27,1;33,1;27,2;26,9;27,2;
00:00:01,237;27,0;27,0;32,9;27,3;26,9;27,3;
00:00:01,250;26,9;26,9;32,9;27,3;26,9;27,3;
00:00:01,262;26,9;26,9;32,7;27,3;26,9;27,3;
00:00:01,275;27,0;27,0;32,9;27,3;26,9;27,3;
00:00:01,287;27,0;27,0;32,9;27,4;27,1;27,4;
00:00:01,300;26,9;26,9;33,0;27,4;27,0;27,3;
00:00:01,312;27,0;27,0;32,9;27,3;27,3;27,2;
00:00:01,325;27,1;27,1;33,0;27,3;27,1;27,3;
00:00:01,337;26,9;26,9;32,8;27,4;27,1;27,4;
00:00:01,350;27,0;27,0;32,9;27,5;26,9;27,5;
00:00:01,362;27,1;27,1;33,1;27,4;27,2;27,4;
00:00:01,375;27,1;27,1;33,0;27,4;27,0;27,4;
00:00:01,387;27,1;27,1;32,7;27,4;27,1;27,4;
00:00:01,400;27,1;27,1;32,9;27,4;27,0;27,3;
00:00:01,412;27,2;27,2;32,9;27,2;27,0;27,2;
00:00:01,425;27,0;27,0;32,9;27,4;26,9;27,4;
00:00:01,437;27,1;27,1;32,9;27,3;27,0;27,2;
00:00:01,450;26,9;26,9;33,0;27,3;26,8;27,3;
00:00:01,462;27,2;27,2;33,0;27,4;26,9;27,4;
00:00:01,475;27,0;27,0;33,1;27,4;27,1;27,4;
00:00:01,487;26,9;26,9;32,9;27,3;26,8;27,3;
00:00:01,500;26,9;26,9;32,9;27,5;27,0;27,5;
00:00:01,512;26,9;26,9;32,9;27,3;27,1;27,3;
00:00:01,525;27,1;27,1;33,1;27,2;27,1;27,2;
00:00:01,537;27,1;27,1;32,9;27,6;26,9;27,3;
00:00:01,550;27,0;27,0;32,9;27,2;26,7;27,2;
00:00:01,562;26,9;26,9;33,0;27,3;26,8;27,3;
00:00:01,575;27,0;27,0;32,9;27,3;26,8;27,3;
00:00:01,587;26,9;26,9;33,1;27,3;26,9;27,1;
00:00:01,600;27,1;27,1;33,0;27,3;26,9;27,3;
00:00:01,612;27,3;27,3;32,8;27,3;26,9;27,3;
00:00:01,625;27,1;27,1;33,0;27,5;26,9;27,5;
00:00:01,637;26,9;26,9;33,1;27,3;26,9;27,3;
00:00:01,650;26,9;26,9;32,7;27,1;27,1;27,1;
00:00:01,662;27,1;27,1;32,8;27,2;27,1;27,2;
00:00:01,675;26,9;26,9;32,9;27,3;27,1;27,2;
00:00:01,687;26,7;26,7;33,1;27,2;26,8;27,2;
00:00:01,700;26,9;26,9;32,8;27,3;27,0;27,3;
00:00:01,712;27,1;27,1;32,8;27,3;26,9;27,3;
00:00:01,725;27,1;27,1;32,9;27,2;27,0;27,2;
00:00:01,737;26,9;26,9;33,0;27,3;26,9;27,3;
00:00:01,750;27,2;27,2;32,9;27,2;26,9;27,2;
00:00:01,762;27,0;27,0;33,0;27,4;27,0;27,4;
00:00:01,775;27,1;27,1;32,9;27,4;26,9;27,4;
00:00:01,787;26,9;26,9;32,9;27,2;26,9;27,2;
00:00:01,800;27,1;27,1;32,9;27,5;26,8;27,5;
00:00:01,812;27,2;27,2;32,9;27,3;26,8;27,3;
00:00:01,825;27,1;27,1;33,0;27,3;27,2;27,3;
00:00:01,837;27,0;27,0;32,9;27,3;26,9;27,2;
00:00:01,850;26,9;26,9;33,0;27,4;26,9;27,4;
00:00:01,862;26,9;26,9;32,8;27,3;27,0;27,3;
00:00:01,875;27,0;27,0;33,0;27,4;26,9;27,4;
00:00:01,887;27,0;27,0;32,9;27,4;26,9;27,4;
00:00:01,900;27,0;27,0;33,1;27,3;26,9;27,3;
00:00:01,912;26,9;26,9;33,3;27,4;27,0;27,4;
00:00:01,925;27,0;27,0;32,9;27,4;27,0;27,4;
00:00:01,937;27,3;27,3;32,9;27,4;26,9;27,4;
00:00:01,950;27,1;27,1;32,9;27,2;26,9;27,2;
00:00:01,962;26,9;26,9;32,9;27,5;26,8;27,5;
00:00:01,975;27,1;27,1;32,9;27,4;27,1;27,4;
00:00:01,987;27,1;27,1;33,0;27,4;26,9;27,4;
00:00:02,000;26,9;26,9;33,0;27,2;26,8;27,2;
00:00:02,012;26,9;26,9;32,7;27,2;26,9;27,2;
00:00:02,025;26,9;26,9;32,7;27,2;26,9;27,2;
00:00:02,037;27,1;27,1;33,0;27,2;26,9;27,2;
00:00:02,050;27,0;27,0;32,9;27,3;27,1;27,3;
00:00:02,062;26,9;26,9;32,9;27,4;27,0;27,4;
00:00:02,075;27,4;27,4;33,1;27,4;27,0;27,4;
00:00:02,087;27,4;27,4;33,1;27,4;27,0;27,4;
00:00:02,100;27,1;27,1;33,2;27,4;27,1;27,4;
00:00:02,112;27,1;27,1;33,6;27,4;27,1;27,4;
00:00:02,125;26,9;26,9;33,1;27,3;27,1;27,3;
00:00:02,137;27,0;27,0;32,9;27,2;26,9;27,2;
00:00:02,150;27,0;27,0;32,9;27,2;26,9;27,2;
00:00:02,162;27,1;27,1;32,9;27,4;26,9;27,4;
00:00:02,175;27,1;27,1;32,9;27,6;26,9;27,6;
00:00:02,187;27,0;27,0;33,3;27,3;26,9;27,3;
00:00:02,200;26,9;26,9;33,1;27,4;27,1;27,4;
00:00:02,212;26,9;26,9;33,1;27,4;27,1;27,4;
00:00:02,225;27,0;27,0;32,9;27,4;27,1;27,4;
00:00:02,237;27,1;27,1;32,9;27,3;26,9;27,3;
00:00:02,250;27,2;27,2;33,1;27,2;26,9;27,2;
00:00:02,262;27,3;27,3;33,1;27,4;26,9;27,4;
00:00:02,275;27,3;27,3;33,1;27,4;26,9;27,4;
00:00:02,287;26,9;26,9;32,8;27,4;26,9;27,4;
00:00:02,300;27,1;27,1;32,9;27,1;26,9;27,1;
00:00:02,312;27,1;27,1;32,8;27,3;26,9;27,3;
00:00:02,325;26,9;26,9;33,0;27,5;27,0;27,5;
00:00:02,337;26,9;26,9;33,0;27,5;27,0;27,5;
00:00:02,350;27,1;27,1;32,9;27,3;27,3;27,3;
00:00:02,362;27,1;27,1;32,9;27,4;26,9;27,4;
00:00:02,375;27,1;27,1;32,9;27,3;26,9;27,3;
00:00:02,387;27,1;27,1;32,9;27,6;27,1;27,6;
00:00:02,400;27,1;27,1;33,2;27,4;27,1;27,4;
00:00:02,412;27,0;27,0;33,1;27,4;26,9;27,4;
00:00:02,425;27,0;27,0;32,9;27,5;27,1;27,5;
00:00:02,437;26,9;26,9;32,9;27,4;26,9;27,4;
00:00:02,450;27,3;27,3;32,9;27,3;27,0;27,3;
00:00:02,462;26,9;26,9;32,8;27,3;26,9;27,2;
00:00:02,475;26,9;26,9;32,8;27,3;26,9;27,3;
00:00:02,487;26,9;26,9;32,8;27,1;26,9;27,1;
00:00:02,500;26,9;26,9;33,0;27,3;26,8;27,2;
00:00:02,512;26,9;26,9;32,9;27,1;26,9;27,1;
00:00:02,525;26,8;26,8;32,6;27,1;26,8;27,1;
00:00:02,537;27,2;27,2;32,8;27,3;26,9;27,3;
00:00:02,550;27,0;27,0;32,9;27,3;27,0;27,3;
00:00:02,562;27,0;27,0;33,1;27,2;26,9;27,2;
00:00:02,575;26,9;26,9;32,8;27,3;26,9;27,3;
00:00:02,587;27,1;27,1;32,8;27,2;26,9;27,2;
00:00:02,600;27,0;27,0;32,9;27,2;26,9;27,2;
00:00:02,612;26,9;26,9;32,8;27,3;26,7;27,3;
00:00:02,625;26,9;26,9;32,8;27,3;26,9;27,3;
00:00:02,637;26,9;26,9;32,7;27,1;26,8;27,1;
00:00:02,650;26,9;26,9;32,9;27,1;26,7;27,1;
00:00:02,662;27,0;27,0;32,9;27,3;27,0;27,3;
00:00:02,675;27,4;27,4;33,0;27,4;26,9;27,4;
00:00:02,687;26,9;26,9;32,9;27,3;26,7;27,3;
00:00:02,700;27,1;27,1;33,0;27,4;27,1;27,3;
00:00:02,712;27,2;27,2;33,0;27,4;27,1;27,4;
00:00:02,725;27,0;27,0;33,0;27,2;26,9;27,2;
