[Connect DataFile][1.1]
Date:;30.06.2025
Time:;15:12:27,681
Unit:;C
Resolution:;0,0125
Values:;6
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;Deformation;Area 15;
00:00:00,000;26,1;26,1;32,2;26,5;26,2;26,5;
00:00:00,012;26,4;26,4;32,2;26,7;26,3;26,7;
00:00:00,025;26,3;26,3;31,9;26,6;26,4;26,6;
00:00:00,037;26,5;26,5;32,1;26,6;26,1;26,5;
00:00:00,050;26,1;26,1;32,0;26,6;26,3;26,6;
00:00:00,062;26,2;26,2;31,9;26,4;26,2;26,4;
00:00:00,075;26,0;26,0;32,3;26,4;26,2;26,4;
00:00:00,087;26,1;26,1;31,9;26,4;26,2;26,4;
00:00:00,100;26,6;26,6;31,9;26,6;26,3;26,6;
00:00:00,112;26,1;26,1;32,0;26,4;26,1;26,4;
00:00:00,125;25,9;25,9;31,9;26,4;26,1;26,4;
00:00:00,137;26,3;26,3;31,9;26,5;26,5;26,4;
00:00:00,150;26,4;26,4;31,9;26,5;26,2;26,5;
00:00:00,162;26,1;26,1;32,2;26,6;26,4;26,6;
00:00:00,175;26,1;26,1;31,9;26,4;26,2;26,4;
00:00:00,187;26,1;26,1;32,1;26,5;26,4;26,5;
00:00:00,200;26,4;26,4;32,0;26,6;26,3;26,6;
00:00:00,212;26,1;26,1;31,9;26,5;26,3;26,5;
00:00:00,225;26,4;26,4;31,9;26,5;26,4;26,5;
00:00:00,237;26,3;26,3;32,0;26,5;26,3;26,4;
00:00:00,250;26,2;26,2;31,9;26,7;26,1;26,5;
00:00:00,262;26,1;26,1;32,0;26,6;26,5;26,6;
00:00:00,275;26,4;26,4;31,9;26,6;26,3;26,6;
00:00:00,287;26,2;26,2;32,0;26,8;26,6;26,8;
00:00:00,300;26,2;26,2;31,9;26,6;26,6;26,6;
00:00:00,312;26,3;26,3;32,0;26,6;26,4;26,6;
00:00:00,325;26,2;26,2;32,0;26,5;26,3;26,5;
