[Connect DataFile][1.1]
Date:;04.12.2025
Time:;14:24:51,444
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;24,3;24,3;27,6;24,6;
00:00:00,012;24,4;24,4;27,4;24,8;
00:00:00,025;24,4;24,4;27,4;24,6;
00:00:00,037;24,6;24,6;27,4;24,8;
00:00:00,050;24,5;24,5;27,4;24,6;
00:00:00,062;28,3;24,4;27,3;24,8;
00:00:00,075;28,2;24,4;27,6;24,5;
00:00:00,087;28,3;24,7;27,4;24,7;
00:00:00,100;28,3;24,2;27,3;24,6;
00:00:00,112;28,5;24,5;27,4;24,7;
00:00:00,125;28,6;24,7;27,5;24,8;
00:00:00,137;24,5;24,5;27,5;24,8;
00:00:00,150;24,8;24,8;27,4;24,8;
00:00:00,162;24,6;24,6;27,7;24,8;
00:00:00,175;24,4;24,4;27,5;24,6;
00:00:00,187;24,4;24,4;27,4;24,7;
00:00:00,200;24,6;24,6;27,3;24,8;
00:00:00,212;24,4;24,4;27,3;24,6;
00:00:00,225;24,5;24,5;27,3;24,6;
00:00:00,237;28,4;24,2;27,2;24,7;
00:00:00,250;28,4;24,4;27,4;24,6;
00:00:00,262;28,5;24,4;27,4;24,4;
00:00:00,275;28,1;24,4;27,2;24,5;
00:00:00,287;28,1;24,4;27,4;24,8;
00:00:00,300;24,4;24,4;27,4;24,6;
00:00:00,312;24,4;24,4;27,3;24,6;
00:00:00,325;24,3;24,3;27,5;24,6;
00:00:00,337;24,4;24,4;27,4;24,7;
00:00:00,350;24,5;24,5;27,4;24,6;
00:00:00,362;24,7;24,7;27,4;24,7;
00:00:00,375;28,2;24,5;27,4;24,7;
00:00:00,387;28,1;24,4;27,4;24,9;
00:00:00,400;28,1;24,5;27,4;24,8;
00:00:00,412;28,2;24,5;27,4;24,7;
00:00:00,425;28,3;24,5;27,3;24,5;
00:00:00,437;28,1;24,5;27,5;24,8;
00:00:00,450;24,6;24,6;27,6;24,8;
00:00:00,462;24,6;24,6;27,7;24,8;
00:00:00,475;24,4;24,4;27,4;24,8;
00:00:00,487;24,4;24,4;27,4;24,6;
00:00:00,500;24,6;24,6;27,4;24,6;
00:00:00,512;24,5;24,5;27,4;24,8;
