[Connect DataFile][1.1]
Date:;03.09.2025
Time:;15:43:36,403
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;27,7;27,7;27,5;27,9;
00:00:00,012;27,6;27,6;27,6;27,8;
00:00:00,025;27,5;27,5;27,4;27,8;
00:00:00,037;27,4;27,4;27,6;27,9;
00:00:00,050;27,4;27,4;27,5;27,7;
00:00:00,062;27,4;27,4;27,5;27,6;
00:00:00,075;27,3;27,3;27,3;28,0;
00:00:00,087;27,6;27,6;27,4;27,7;
00:00:00,100;27,6;27,6;27,5;27,7;
00:00:00,112;27,4;27,4;27,5;27,8;
00:00:00,125;27,4;27,4;27,4;27,8;
00:00:00,137;27,4;27,4;27,4;27,6;
00:00:00,150;27,4;27,4;27,5;27,6;
00:00:00,162;27,6;27,6;27,6;27,9;
00:00:00,175;27,6;27,6;27,6;27,9;
00:00:00,187;27,5;27,5;27,6;27,8;
00:00:00,200;27,5;27,5;27,4;27,8;
00:00:00,212;27,4;27,4;27,4;27,9;
00:00:00,225;27,4;27,4;27,5;27,7;
00:00:00,237;27,5;27,5;27,4;27,9;
00:00:00,250;27,4;27,4;27,4;27,9;
00:00:00,262;27,4;27,4;27,5;27,9;
00:00:00,275;27,6;27,6;27,4;27,9;
00:00:00,287;27,4;27,4;27,4;27,6;
00:00:00,300;27,5;27,5;27,4;27,6;
00:00:00,312;27,4;27,4;27,4;27,7;
00:00:00,325;27,8;27,8;27,6;27,8;
00:00:00,337;27,6;27,6;27,6;27,8;
00:00:00,350;27,5;27,5;27,6;27,7;
00:00:00,362;27,7;27,7;27,5;28,1;
00:00:00,375;27,6;27,6;27,6;27,9;
00:00:00,387;27,5;27,5;27,6;27,9;
00:00:00,400;27,4;27,4;27,4;27,8;
00:00:00,412;27,8;27,8;27,5;27,8;
00:00:00,425;27,6;27,6;27,6;27,8;
00:00:00,437;27,6;27,6;27,5;27,8;
00:00:00,450;27,5;27,5;27,5;27,8;
00:00:00,462;27,4;27,4;27,5;27,8;
00:00:00,475;27,6;27,6;27,5;27,7;
00:00:00,487;27,6;27,6;27,5;27,7;
00:00:00,500;27,4;27,4;27,5;28,0;
00:00:00,512;27,6;27,6;27,5;27,8;
00:00:00,525;27,5;27,5;27,5;27,7;
00:00:00,537;27,5;27,5;27,5;27,7;
00:00:00,550;27,5;27,5;27,6;27,9;
00:00:00,562;27,4;27,4;27,5;27,8;
00:00:00,575;27,4;27,4;27,5;27,8;
00:00:00,587;27,6;27,6;27,6;27,7;
00:00:00,600;27,6;27,6;27,5;27,7;
00:00:00,612;27,4;27,4;27,6;27,8;
00:00:00,625;27,4;27,4;27,4;27,9;
00:00:00,637;27,6;27,6;27,5;27,8;
00:00:00,650;27,4;27,4;27,6;27,8;
00:00:00,662;27,6;27,6;27,4;27,8;
00:00:00,675;27,4;27,4;27,4;27,7;
00:00:00,687;27,5;27,5;27,7;28,1;
00:00:00,700;27,5;27,5;27,6;27,9;
00:00:00,712;27,8;27,8;27,6;27,9;
00:00:00,725;27,5;27,5;27,5;27,8;
00:00:00,737;27,6;27,6;27,6;27,9;
00:00:00,750;27,6;27,6;27,6;27,9;
00:00:00,762;27,6;27,6;27,5;27,9;
00:00:00,775;27,5;27,5;27,6;27,9;
00:00:00,787;27,8;27,8;27,6;27,8;
00:00:00,800;27,9;27,9;27,8;28,0;
00:00:00,812;27,7;27,7;27,6;28,0;
00:00:00,825;27,5;27,5;27,6;28,0;
00:00:00,837;27,6;27,6;27,6;27,9;
00:00:00,850;27,6;27,6;27,6;27,9;
00:00:00,862;27,7;27,7;27,6;27,9;
00:00:00,875;27,6;27,6;27,6;28,0;
00:00:00,887;27,6;27,6;27,7;27,9;
00:00:00,900;27,6;27,6;27,5;27,8;
00:00:00,912;27,5;27,5;27,7;27,9;
00:00:00,925;27,6;27,6;27,6;28,1;
00:00:00,937;27,6;27,6;27,6;27,9;
00:00:00,950;27,7;27,7;27,6;28,1;
00:00:00,962;27,6;27,6;27,6;27,9;
00:00:00,975;27,6;27,6;27,4;28,1;
00:00:00,987;27,6;27,6;27,5;27,9;
00:00:01,000;27,7;27,7;27,4;27,9;
00:00:01,012;27,7;27,7;27,4;27,9;
00:00:01,025;27,6;27,6;27,6;27,9;
00:00:01,037;27,6;27,6;27,6;28,0;
00:00:01,050;27,6;27,6;27,7;28,0;
00:00:01,062;28,1;28,1;27,7;28,2;
00:00:01,075;28,1;28,1;27,7;28,2;
00:00:01,087;27,9;27,9;27,8;28,1;
00:00:01,100;27,7;27,7;27,6;27,9;
00:00:01,112;27,8;27,8;27,8;28,1;
00:00:01,125;27,8;27,8;27,6;27,9;
00:00:01,137;27,8;27,8;27,6;27,9;
00:00:01,150;27,6;27,6;27,5;27,9;
00:00:01,162;27,6;27,6;27,6;27,9;
00:00:01,175;27,7;27,7;27,6;27,9;
00:00:01,187;27,6;27,6;27,7;28,1;
00:00:01,200;27,7;27,7;27,8;28,1;
00:00:01,212;27,6;27,6;27,6;28,0;
00:00:01,225;27,5;27,5;27,6;27,9;
00:00:01,237;27,5;27,5;27,6;28,0;
00:00:01,250;27,8;27,8;27,6;27,9;
00:00:01,262;27,6;27,6;27,6;27,9;
00:00:01,275;27,6;27,6;27,6;27,9;
00:00:01,287;27,9;27,9;27,8;27,9;
00:00:01,300;27,6;27,6;27,9;27,9;
00:00:01,312;27,9;27,9;27,6;28,1;
00:00:01,325;27,6;27,6;27,6;28,0;
00:00:01,337;27,9;27,9;27,6;28,0;
00:00:01,350;27,8;27,8;27,6;27,9;
00:00:01,362;27,6;27,6;27,6;28,2;
00:00:01,375;27,7;27,7;27,8;28,0;
00:00:01,387;27,6;27,6;27,6;27,9;
00:00:01,400;27,8;27,8;27,6;28,0;
00:00:01,412;27,9;27,9;27,6;27,9;
00:00:01,425;27,7;27,7;27,9;27,9;
00:00:01,437;27,7;27,7;27,7;27,9;
00:00:01,450;27,7;27,7;27,7;27,9;
00:00:01,462;27,7;27,7;27,6;27,9;
00:00:01,475;27,9;27,9;27,6;28,0;
00:00:01,487;27,6;27,6;27,6;28,0;
00:00:01,500;27,6;27,6;27,6;27,9;
00:00:01,512;27,6;27,6;27,6;28,1;
00:00:01,525;27,6;27,6;27,7;27,9;
00:00:01,537;27,5;27,5;27,6;27,9;
00:00:01,550;27,6;27,6;27,6;27,9;
00:00:01,562;27,6;27,6;27,6;27,9;
00:00:01,575;27,5;27,5;27,6;27,9;
00:00:01,587;27,6;27,6;27,6;28,1;
00:00:01,600;27,6;27,6;27,5;27,9;
00:00:01,612;27,6;27,6;27,6;27,9;
00:00:01,625;27,7;27,7;27,6;27,9;
00:00:01,637;27,6;27,6;27,6;27,9;
00:00:01,650;27,7;27,7;27,7;27,8;
00:00:01,662;27,6;27,6;27,9;28,1;
00:00:01,675;27,7;27,7;27,7;27,9;
00:00:01,687;27,6;27,6;27,6;27,9;
00:00:01,700;27,5;27,5;27,6;27,9;
00:00:01,712;27,5;27,5;27,6;27,7;
00:00:01,725;27,7;27,7;27,6;27,7;
00:00:01,737;27,6;27,6;27,5;27,8;
00:00:01,750;27,6;27,6;27,5;28,1;
00:00:01,762;27,6;27,6;27,4;27,7;
00:00:01,775;27,4;27,4;27,4;27,9;
00:00:01,787;27,6;27,6;27,5;27,7;
00:00:01,800;27,6;27,6;27,6;27,8;
00:00:01,812;27,4;27,4;27,4;28,0;
00:00:01,825;27,4;27,4;27,6;27,8;
00:00:01,837;27,6;27,6;27,6;27,7;
00:00:01,850;27,6;27,6;27,6;27,9;
00:00:01,862;27,6;27,6;27,6;27,8;
00:00:01,875;27,5;27,5;27,6;27,9;
00:00:01,887;27,6;27,6;27,9;27,9;
00:00:01,900;27,6;27,6;27,5;27,9;
00:00:01,912;27,6;27,6;27,6;27,9;
00:00:01,925;27,5;27,5;27,4;28,0;
00:00:01,937;27,6;27,6;27,6;27,9;
00:00:01,950;27,6;27,6;27,9;28,0;
00:00:01,962;27,6;27,6;27,6;27,8;
00:00:01,975;27,6;27,6;27,7;27,9;
00:00:01,987;27,5;27,5;27,6;27,8;
00:00:02,000;27,6;27,6;27,5;27,9;
00:00:02,012;27,4;27,4;27,6;27,9;
00:00:02,025;27,4;27,4;27,6;27,9;
00:00:02,037;27,5;27,5;27,6;27,9;
00:00:02,050;27,4;27,4;27,6;27,7;
00:00:02,062;27,4;27,4;27,8;27,9;
00:00:02,075;27,5;27,5;27,6;27,9;
00:00:02,087;27,5;27,5;27,6;27,9;
00:00:02,100;27,6;27,6;27,6;27,8;
00:00:02,112;27,5;27,5;27,5;27,9;
00:00:02,125;27,7;27,7;27,6;27,9;
00:00:02,137;27,6;27,6;27,6;27,9;
00:00:02,150;27,6;27,6;27,6;27,9;
00:00:02,162;27,6;27,6;27,6;27,9;
00:00:02,175;27,6;27,6;27,9;27,9;
00:00:02,187;27,7;27,7;27,5;27,9;
00:00:02,200;27,6;27,6;27,5;27,8;
00:00:02,212;27,6;27,6;27,5;27,8;
00:00:02,225;27,7;27,7;27,6;27,9;
00:00:02,237;27,6;27,6;27,8;27,9;
00:00:02,250;27,8;27,8;27,6;28,1;
00:00:02,262;27,7;27,7;27,7;28,0;
00:00:02,275;27,7;27,7;27,7;28,0;
00:00:02,287;27,6;27,6;27,5;27,9;
00:00:02,300;27,6;27,6;27,6;27,9;
00:00:02,312;27,6;27,6;27,6;27,8;
00:00:02,325;27,6;27,6;27,6;27,7;
00:00:02,337;27,6;27,6;27,6;27,7;
00:00:02,350;27,6;27,6;27,9;28,1;
00:00:02,362;27,6;27,6;27,6;27,9;
00:00:02,375;27,7;27,7;27,6;28,0;
00:00:02,387;27,7;27,7;27,7;28,1;
00:00:02,400;27,7;27,7;27,7;28,0;
00:00:02,412;27,8;27,8;27,9;27,9;
00:00:02,425;27,7;27,7;27,6;27,9;
00:00:02,437;27,9;27,9;27,6;27,9;
00:00:02,450;27,6;27,6;27,6;27,9;
00:00:02,462;27,7;27,7;27,6;27,9;
00:00:02,475;27,6;27,6;27,6;27,9;
00:00:02,487;27,8;27,8;27,6;28,1;
00:00:02,500;27,7;27,7;27,6;28,1;
00:00:02,512;27,8;27,8;27,8;27,9;
00:00:02,525;27,7;27,7;27,6;28,0;
00:00:02,537;27,7;27,7;27,6;27,9;
00:00:02,550;27,6;27,6;27,7;27,9;
00:00:02,562;27,7;27,7;27,6;27,9;
00:00:02,575;27,5;27,5;27,6;27,9;
00:00:02,587;27,7;27,7;27,7;27,9;
00:00:02,600;27,7;27,7;27,6;28,1;
00:00:02,612;27,6;27,6;27,8;28,1;
00:00:02,625;27,6;27,6;27,6;27,9;
00:00:02,637;27,5;27,5;27,5;27,9;
00:00:02,650;27,6;27,6;27,8;28,1;
00:00:02,662;27,6;27,6;27,7;27,9;
00:00:02,675;27,6;27,6;27,6;28,1;
00:00:02,687;27,5;27,5;27,6;28,0;
00:00:02,700;27,6;27,6;27,7;28,0;
00:00:02,712;27,9;27,9;27,6;27,9;
00:00:02,725;27,6;27,6;27,6;27,9;
00:00:02,737;27,5;27,5;27,6;27,9;
00:00:02,750;27,5;27,5;27,7;27,9;
00:00:02,762;27,9;27,9;27,6;28,0;
00:00:02,775;27,6;27,6;27,7;28,0;
00:00:02,787;27,7;27,7;27,6;27,9;
