[Connect DataFile][1.1]
Date:;09.07.2025
Time:;13:40:42,668
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;28,5;26,7;26,6;28,5;
00:00:00,012;28,3;26,7;26,6;28,3;
00:00:00,025;28,3;26,6;26,6;28,3;
00:00:00,037;28,6;26,7;26,6;28,6;
00:00:00,050;26,7;26,7;26,7;28,5;
00:00:00,062;26,7;26,7;26,7;28,4;
00:00:00,075;26,6;26,6;26,6;28,4;
00:00:00,087;26,7;26,7;26,6;28,6;
00:00:00,100;26,7;26,7;26,6;28,6;
00:00:00,112;26,6;26,6;26,6;28,4;
00:00:00,125;26,7;26,7;26,7;28,6;
00:00:00,137;26,9;26,9;26,7;28,3;
00:00:00,150;26,6;26,6;26,6;28,6;
00:00:00,162;26,7;26,7;26,7;28,3;
00:00:00,175;26,8;26,8;26,6;28,4;
00:00:00,187;26,6;26,6;26,4;28,3;
00:00:00,200;26,8;26,8;26,5;28,4;
00:00:00,212;26,7;26,7;26,5;28,3;
00:00:00,225;26,6;26,6;26,6;28,3;
00:00:00,237;26,9;26,9;26,4;28,4;
00:00:00,250;26,6;26,6;26,6;28,5;
00:00:00,262;26,7;26,7;26,6;28,5;
00:00:00,275;26,9;26,9;26,6;28,4;
00:00:00,287;26,9;26,9;26,6;28,6;
00:00:00,300;26,6;26,6;26,7;28,6;
00:00:00,312;27,0;27,0;26,8;28,5;
00:00:00,325;26,7;26,7;26,8;28,5;
00:00:00,337;26,9;26,9;26,7;28,6;
00:00:00,350;26,6;26,6;26,6;28,6;
00:00:00,362;26,9;26,9;26,6;28,3;
00:00:00,375;26,7;26,7;26,6;28,4;
00:00:00,387;26,8;26,8;26,6;28,3;
00:00:00,400;26,6;26,6;26,5;28,5;
00:00:00,412;26,6;26,6;26,6;28,6;
00:00:00,425;26,6;26,6;26,6;28,6;
00:00:00,437;26,7;26,7;26,7;28,6;
00:00:00,450;26,7;26,7;26,6;28,3;
00:00:00,462;26,9;26,9;26,7;28,5;
00:00:00,475;26,8;26,8;26,6;28,6;
00:00:00,487;26,7;26,7;26,5;28,3;
00:00:00,500;26,7;26,7;26,6;28,6;
00:00:00,512;26,9;26,9;26,5;28,6;
00:00:00,525;26,8;26,8;26,6;28,5;
00:00:00,537;26,8;26,8;26,6;28,5;
00:00:00,550;26,8;26,8;26,6;28,5;
00:00:00,562;26,7;26,7;26,6;28,4;
00:00:00,575;26,7;26,7;26,9;28,5;
00:00:00,587;26,7;26,7;26,7;28,5;
00:00:00,600;26,7;26,7;26,6;28,7;
00:00:00,612;27,0;27,0;26,6;28,5;
00:00:00,625;27,1;27,1;26,9;28,4;
00:00:00,637;26,8;26,8;26,6;28,6;
00:00:00,650;26,9;26,9;27,0;28,4;
00:00:00,662;26,7;26,7;26,7;28,6;
00:00:00,675;26,7;26,7;26,7;28,6;
00:00:00,687;26,9;26,9;26,8;28,5;
00:00:00,700;26,6;26,6;26,7;28,4;
00:00:00,712;26,9;26,9;26,6;28,8;
00:00:00,725;26,7;26,7;26,6;28,6;
00:00:00,737;26,8;26,8;26,7;28,5;
00:00:00,750;26,7;26,7;26,6;28,6;
00:00:00,762;26,9;26,9;26,6;28,6;
00:00:00,775;26,8;26,8;26,8;28,4;
00:00:00,787;26,8;26,8;26,6;28,4;
00:00:00,800;26,7;26,7;26,6;28,5;
00:00:00,812;26,7;26,7;26,6;29,0;
00:00:00,825;26,8;26,8;26,7;28,7;
00:00:00,837;26,9;26,9;26,9;28,5;
00:00:00,850;27,1;27,1;26,6;28,6;
00:00:00,862;26,8;26,8;26,8;28,6;
00:00:00,875;26,7;26,7;26,7;28,4;
00:00:00,887;26,9;26,9;26,6;28,6;
00:00:00,900;26,7;26,7;26,7;28,6;
00:00:00,912;27,0;27,0;26,8;28,6;
00:00:00,925;26,8;26,8;26,8;28,5;
00:00:00,937;26,7;26,7;26,6;28,4;
00:00:00,950;26,9;26,9;26,6;28,7;
00:00:00,962;26,9;26,9;26,6;28,6;
00:00:00,975;26,7;26,7;26,6;28,6;
00:00:00,987;26,9;26,9;26,6;28,4;
00:00:01,000;28,6;26,7;26,7;28,6;
