[Connect DataFile][1.1]
Date:;10.09.2025
Time:;10:20:25,774
Unit:;C
Resolution:;0,0125
Values:;4
Time;Hot Spot;ROI;Thermal_Corona;Detector Area;
00:00:00,000;28,0;28,0;31,2;31,6;
00:00:00,012;28,2;28,2;31,1;31,6;
00:00:00,025;28,1;28,1;31,3;31,9;
00:00:00,037;28,1;28,1;31,2;31,6;
00:00:00,050;28,2;28,2;31,2;31,6;
00:00:00,062;28,2;28,2;31,2;31,6;
00:00:00,075;28,3;28,3;31,2;31,6;
00:00:00,087;28,3;28,3;31,5;31,7;
00:00:00,100;28,3;28,3;31,1;31,6;
00:00:00,112;28,2;28,2;31,2;31,9;
00:00:00,125;28,2;28,2;31,5;31,7;
00:00:00,137;28,5;28,5;31,3;31,8;
00:00:00,150;28,3;28,3;31,4;31,8;
00:00:00,162;28,2;28,2;31,2;31,5;
00:00:00,175;28,2;28,2;31,1;31,6;
00:00:00,187;28,4;28,4;31,6;31,6;
00:00:00,200;28,6;28,6;31,2;32,0;
00:00:00,212;28,5;28,5;31,5;31,7;
00:00:00,225;28,1;28,1;31,7;31,9;
00:00:00,237;28,3;28,3;31,2;31,6;
00:00:00,250;28,4;28,4;31,2;31,6;
00:00:00,262;28,5;28,5;31,5;31,6;
00:00:00,275;28,5;28,5;31,1;31,6;
00:00:00,287;28,4;28,4;31,3;31,7;
00:00:00,300;28,3;28,3;31,2;31,6;
00:00:00,312;28,5;28,5;31,4;31,6;
00:00:00,325;28,4;28,4;31,3;31,7;
00:00:00,337;28,5;28,5;31,6;31,9;
00:00:00,350;28,2;28,2;31,3;31,5;
00:00:00,362;28,1;28,1;31,2;31,7;
00:00:00,375;28,1;28,1;31,3;31,6;
00:00:00,387;28,3;28,3;31,4;31,9;
00:00:00,400;28,2;28,2;31,1;31,8;
00:00:00,412;28,2;28,2;31,2;31,7;
00:00:00,425;28,3;28,3;31,6;31,7;
00:00:00,437;28,2;28,2;31,2;31,5;
00:00:00,450;28,1;28,1;31,1;31,6;
00:00:00,462;28,1;28,1;31,1;31,9;
00:00:00,475;28,0;28,0;31,3;31,6;
00:00:00,487;28,2;28,2;31,3;31,6;
00:00:00,500;28,3;28,3;31,3;32,0;
00:00:00,512;28,3;28,3;31,2;31,6;
00:00:00,525;28,4;28,4;31,2;31,8;
00:00:00,537;28,4;28,4;31,2;31,8;
00:00:00,550;28,3;28,3;31,1;31,6;
00:00:00,562;28,3;28,3;31,2;31,7;
00:00:00,575;28,1;28,1;31,2;31,8;
00:00:00,587;28,2;28,2;31,5;31,6;
00:00:00,600;28,3;28,3;31,2;31,6;
00:00:00,612;28,3;28,3;31,6;31,9;
00:00:00,625;28,3;28,3;31,2;31,6;
00:00:00,637;28,4;28,4;31,2;31,8;
00:00:00,650;28,4;28,4;31,5;31,7;
00:00:00,662;28,1;28,1;31,1;31,8;
00:00:00,675;28,5;28,5;31,2;31,7;
00:00:00,687;28,2;28,2;31,5;31,5;
00:00:00,700;28,4;28,4;31,2;31,5;
00:00:00,712;28,3;28,3;31,4;31,6;
00:00:00,725;28,3;28,3;31,6;31,9;
00:00:00,737;28,2;28,2;31,1;31,5;
00:00:00,750;28,1;28,1;31,1;31,6;
00:00:00,762;28,3;28,3;31,5;31,8;
00:00:00,775;28,3;28,3;31,3;31,6;
00:00:00,787;28,3;28,3;31,2;31,7;
00:00:00,800;28,5;28,5;31,3;31,8;
00:00:00,812;28,3;28,3;31,2;31,8;
00:00:00,825;28,4;28,4;31,6;31,7;
00:00:00,837;28,1;28,1;31,2;31,5;
00:00:00,850;28,5;28,5;31,2;31,6;
00:00:00,862;28,1;28,1;31,6;31,6;
00:00:00,875;28,2;28,2;31,2;31,8;
00:00:00,887;28,3;28,3;31,4;31,6;
00:00:00,900;28,1;28,1;31,2;31,6;
00:00:00,912;28,2;28,2;31,2;31,6;
00:00:00,925;28,3;28,3;31,5;31,7;
00:00:00,937;28,5;28,5;31,4;31,6;
00:00:00,950;28,3;28,3;31,1;31,5;
00:00:00,962;28,3;28,3;31,5;32,0;
00:00:00,975;28,3;28,3;31,2;31,9;
00:00:00,987;28,3;28,3;31,1;31,6;
00:00:01,000;28,2;28,2;31,1;31,5;
